profile,R,seed,step,score,raw_profit,hidden_norm,grad_hidden_rms
pure,1,11,1,4303.400902879747,4303.400902879747,44.976503695673735,3.443803901427095
pure,1,11,50,4305.802018201064,4305.802018201064,50.158618994716726,0.6742019126752856
pure,1,11,100,4306.091831134391,4306.091831134391,53.55252280481448,0.26951689777833765
pure,1,11,150,4306.192564017489,4306.192564017489,55.847943348541406,0.31701779192943375
pure,1,11,200,4306.2405875653,4306.2405875653,57.57793147121029,0.39188846593973986
pure,1,11,250,4306.267344218681,4306.267344218681,58.95932241335245,0.26430495341741717
pure,1,11,300,4306.287184798977,4306.287184798977,60.0952201365981,0.3826442816092832
pure,1,11,350,4306.301094179532,4306.301094179532,61.05599196340678,0.41067243857073493
pure,1,11,400,4306.305017602268,4306.305017602268,61.87086965801727,0.4695622895638267
pure,1,11,450,4306.31666084331,4306.31666084331,62.58863588572225,0.3576845490002714
pure,1,11,500,4306.320395803958,4306.320395803958,63.228261590702395,0.42346457836053497
pure,1,11,550,4306.328746421399,4306.328746421399,63.779144516088394,0.4142778362823679
pure,1,11,600,4306.332484599012,4306.332484599012,64.25708442747116,0.3033171509451979
pure,1,11,650,4306.338038036533,4306.338038036533,64.6878089161684,0.3040060259780694
pure,1,11,700,4306.337140912588,4306.337140912588,65.07142529322262,0.4034461885708568
pure,1,11,750,4306.341719635116,4306.341719635116,65.40436055337541,0.30242046230565844
pure,1,29,1,4303.400902879747,4303.400902879747,44.976503695673735,3.443803901427095
pure,1,29,50,4305.802018201064,4305.802018201064,50.158618994716726,0.6742019126752856
pure,1,29,100,4306.091831134391,4306.091831134391,53.55252280481448,0.26951689777833765
pure,1,29,150,4306.192564017489,4306.192564017489,55.847943348541406,0.31701779192943375
pure,1,29,200,4306.2405875653,4306.2405875653,57.57793147121029,0.39188846593973986
pure,1,29,250,4306.267344218681,4306.267344218681,58.95932241335245,0.26430495341741717
pure,1,29,300,4306.287184798977,4306.287184798977,60.0952201365981,0.3826442816092832
pure,1,29,350,4306.301094179532,4306.301094179532,61.05599196340678,0.41067243857073493
pure,1,29,400,4306.305017602268,4306.305017602268,61.87086965801727,0.4695622895638267
pure,1,29,450,4306.31666084331,4306.31666084331,62.58863588572225,0.3576845490002714
pure,1,29,500,4306.320395803958,4306.320395803958,63.228261590702395,0.42346457836053497
pure,1,29,550,4306.328746421399,4306.328746421399,63.779144516088394,0.4142778362823679
pure,1,29,600,4306.332484599012,4306.332484599012,64.25708442747116,0.3033171509451979
pure,1,29,650,4306.338038036533,4306.338038036533,64.6878089161684,0.3040060259780694
pure,1,29,700,4306.337140912588,4306.337140912588,65.07142529322262,0.4034461885708568
pure,1,29,750,4306.341719635116,4306.341719635116,65.40436055337541,0.30242046230565844
pure,1,47,1,4303.400902879747,4303.400902879747,44.976503695673735,3.443803901427095
pure,1,47,50,4305.802018201064,4305.802018201064,50.158618994716726,0.6742019126752856
pure,1,47,100,4306.091831134391,4306.091831134391,53.55252280481448,0.26951689777833765
pure,1,47,150,4306.192564017489,4306.192564017489,55.847943348541406,0.31701779192943375
pure,1,47,200,4306.2405875653,4306.2405875653,57.57793147121029,0.39188846593973986
pure,1,47,250,4306.267344218681,4306.267344218681,58.95932241335245,0.26430495341741717
pure,1,47,300,4306.287184798977,4306.287184798977,60.0952201365981,0.3826442816092832
pure,1,47,350,4306.301094179532,4306.301094179532,61.05599196340678,0.41067243857073493
pure,1,47,400,4306.305017602268,4306.305017602268,61.87086965801727,0.4695622895638267
pure,1,47,450,4306.31666084331,4306.31666084331,62.58863588572225,0.3576845490002714
pure,1,47,500,4306.320395803958,4306.320395803958,63.228261590702395,0.42346457836053497
pure,1,47,550,4306.328746421399,4306.328746421399,63.779144516088394,0.4142778362823679
pure,1,47,600,4306.332484599012,4306.332484599012,64.25708442747116,0.3033171509451979
pure,1,47,650,4306.338038036533,4306.338038036533,64.6878089161684,0.3040060259780694
pure,1,47,700,4306.337140912588,4306.337140912588,65.07142529322262,0.4034461885708568
pure,1,47,750,4306.341719635116,4306.341719635116,65.40436055337541,0.30242046230565844
pure,4,11,1,4303.400902879747,4303.400902879747,44.976503695673735,3.443803901427095
pure,4,11,50,4306.0095810961075,4306.0095810961075,52.61477546777687,0.5477491175804232
pure,4,11,100,4306.2117743479685,4306.2117743479685,56.64659916242774,0.3551371033438978
pure,4,11,150,4306.265099874708,4306.265099874708,59.18265468443672,0.48209058978041114
pure,4,11,200,4306.29233500109,4306.29233500109,61.06885638189471,0.48084502975977056
pure,4,11,250,4306.307801226148,4306.307801226148,62.54213212148975,0.4659543147881184
pure,4,11,300,4306.308061662819,4306.308061662819,63.75035966875589,0.6653888915821036
pure,4,11,350,4306.315603097874,4306.315603097874,64.74964836550218,0.4743202898399712
pure,4,11,400,4306.336358471143,4306.336358471143,65.62497053655989,0.4281831094467978
pure,4,11,450,4306.33424307973,4306.33424307973,66.36031753130993,0.4891007606877551
pure,4,11,500,4306.336141646697,4306.336141646697,67.01039785014217,0.4215256501178132
pure,4,11,550,4306.338840300717,4306.338840300717,67.58481844328992,0.6694756302960411
pure,4,11,600,4306.34091390665,4306.34091390665,68.1021380404707,0.538645664224259
pure,4,11,650,4306.350454624893,4306.350454624893,68.54881995175239,0.3333700274568862
pure,4,11,700,4306.351603166647,4306.351603166647,68.93840139935038,0.38464755284735136
pure,4,11,750,4306.349437026781,4306.349437026781,69.29546525772453,0.4165091470612007
pure,4,29,1,4303.400902879747,4303.400902879747,44.97650369567375,3.4438039014270947
