分类,模型,售价效应,稳健标准误,稳健p值,稳健95%下限,稳健95%上限,模型R²,调整R²,模型整体F检验p值,样本数,验证起点,验证RMSE,验证MAE,验证MAPE
花叶类,线性对照模型,-22.015377193610973,3.442203264117917,2.386848045897655e-10,-28.76964043826358,-15.26111394895837,0.35035708722447645,0.3393875070838015,5.77259322760459e-87,1085,2022-11-21,79.82619599498804,48.5449148847831,30.247018615732312
花菜类,线性对照模型,-3.5126953143224044,0.3779946256733853,8.227022881358352e-20,-4.254394878782424,-2.7709957498623843,0.3104822529247896,0.2988174790081036,1.941497165994215e-73,1083,2022-11-21,18.11507887087062,11.467745155869007,53.88196913443481
水生根茎类,线性对照模型,-1.2224924266371588,0.7253217716525292,0.09219475677207545,-2.6457129069286927,0.20072805365437496,0.3370066907624565,0.3258116817884642,2.1672069246490957e-82,1085,2022-11-21,27.357757108049142,14.735178636018428,62.26381936662013
茄类,线性对照模型,-0.505693082301399,0.4342845298691391,0.24451996058071562,-1.3578755375910794,0.3464893729882814,0.3264966061718082,0.3147380600137991,5.710918501868528e-76,1050,2022-11-27,10.480164401636921,7.8060388513135575,73.48262668405857
辣椒类,线性对照模型,-4.133429960109801,1.226894824643978,0.0007813635853617923,-6.5408330049938606,-1.7260269152257415,0.25161169974971187,0.2389747490888252,2.358772786548469e-55,1085,2022-11-21,61.20508631190277,37.512703561913455,37.812915816028045
食用菌,线性对照模型,-1.4185132258116928,0.8560306810245938,0.09779710640908683,-3.0982096648367667,0.2611832132133811,0.30847486820344094,0.2967980836140056,6.076467676801587e-73,1085,2022-11-21,51.20371898680218,31.781931851177163,58.40093541138715
