分类,杜宾沃森统计量,七阶滞后检验p值,异方差检验p值,正态性检验p值,残差偏度,残差峰度,残差时间秩相关,诊断提示
花叶类,0.6555928914671384,0.0,2.8303316084635064e-18,2.527199642639993e-64,-0.1336724895942921,5.531186397166407,-0.26412992327087004,残差存在短期自相关；残差方差可能不恒定；残差仍有时间趋势
花菜类,0.6807537613970295,5.7400106750547305e-300,2.748696331644612e-13,0.0,-1.7049266076498817,8.316681698871257,-0.08461843296063899,残差存在短期自相关；残差方差可能不恒定
水生根茎类,0.7242283114600488,0.0,1.491023843939469e-08,4.8260807409597516e-105,-0.7962301024615475,5.844347890582151,0.14820282510435154,残差存在短期自相关；残差方差可能不恒定
茄类,1.0158889830531714,5.3330349674512e-239,0.0009904975112472252,0.0,-1.0493418638482561,10.144472999395813,-0.36995894392129675,残差存在短期自相关；残差方差可能不恒定；残差仍有时间趋势
辣椒类,0.6310137005869993,0.0,1.0756905639279728e-06,7.503339880628428e-186,0.24977892014325376,7.3137303588858025,0.0823018776563507,残差存在短期自相关；残差方差可能不恒定
食用菌,0.5573400895025133,0.0,1.2555347727053906e-15,5.442791796219894e-89,-0.6068203194873191,5.741924950075306,0.0020076818381545326,残差存在短期自相关；残差方差可能不恒定
