分类,模型,售价效应,稳健标准误,稳健p值,稳健95%下限,稳健95%上限,模型R²,调整R²,模型整体F检验p值,样本数,验证起点,验证RMSE,验证MAE,验证MAPE
花叶类,对数趋势敏感性,-0.9034634933259534,0.1251565618655078,9.966775489381715e-13,-1.1490449430556149,-0.657882043596292,0.45334288209623463,0.4435903137956041,3.5573199215204315e-125,1085,2022-11-21,105.11043258187554,75.43595250498542,40.3280342043181
花菜类,对数趋势敏感性,-1.0360395323714138,0.13059053660449185,5.3731862426176566e-15,-1.29228404303465,-0.7797950217081775,0.2754013332337757,0.2624498989265712,1.054520500489883e-61,1083,2022-11-21,19.02639524419621,11.256265072260703,46.76088639960691
水生根茎类,对数趋势敏感性,-0.4898726763483478,0.19412655603445073,0.011764867616489906,-0.8707866320480635,-0.10895872064863205,0.4699813294455236,0.4605255972947865,3.431136330660031e-132,1085,2022-11-21,35.16335905544175,21.067551053554013,80.50575985309135
茄类,对数趋势敏感性,-0.15460904995279226,0.15635178382904377,0.32296692910706115,-0.46141343718087346,0.15219533727528892,0.4934779329267518,0.48413432198074047,1.887673792570141e-137,1050,2022-11-27,10.70436406708765,6.8758330557111895,42.17235351268913
辣椒类,对数趋势敏感性,-0.5648686351909703,0.0927464462609157,1.5701226903790757e-09,-0.7468551518428546,-0.38288211853908605,0.43095833571925,0.4208064187039128,4.425616375922147e-116,1085,2022-11-21,60.05323019232021,35.904741851552465,38.53035975192322
食用菌,对数趋势敏感性,-0.1962114273135585,0.17582445212559655,0.26469494666822857,-0.541213105270544,0.14879025064342705,0.36747308408153523,0.3561885663327552,3.317986843345642e-92,1085,2022-11-21,58.93600706076578,39.80113365704987,58.550794496326716
