分类,模型,变量,系数,经典p值,稳健标准误,稳健p值,稳健95%下限,稳健95%上限
花叶类,对数主模型,截距,6.323817291384153,0.0,0.24658004148069998,2.259384123687815e-113,5.839979939767211,6.807654643001095
花叶类,对数主模型,日平均售价,-0.7950517001280198,7.980000916806837e-55,0.12145136449219722,9.151280613460195e-11,-1.0333625796026995,-0.5567408206533401
花叶类,对数主模型,月份_02,0.0052564933056189304,0.9218990098206515,0.16518646942223292,0.9746202993329768,-0.31887105330468457,0.32938403991592247
花叶类,对数主模型,月份_03,-0.14177789006559946,0.006815801576186069,0.15460399176482406,0.3593296220868729,-0.4451405850984612,0.16158480496726232
花叶类,对数主模型,月份_04,-0.1969710355012422,0.00016620665321828373,0.1494313138620711,0.18774074976867877,-0.4901839440298651,0.09624187302738071
花叶类,对数主模型,月份_05,-0.1470113022727119,0.004564870968743046,0.14424434170163603,0.3083476004526139,-0.4300463762209471,0.1360237716755233
花叶类,对数主模型,月份_06,-0.19284941906854983,0.0002199677986275033,0.144577057348265,0.18252588764636407,-0.47653734495216393,0.09083850681506425
花叶类,对数主模型,月份_07,0.20760380836169467,9.417547542926009e-05,0.15223673686274436,0.1729528541951618,-0.09111387835846424,0.5063214950818535
花叶类,对数主模型,月份_08,0.495795875885685,2.2448389882194802e-20,0.14424141944795557,0.0006103027642777912,0.2127665359598509,0.7788252158115192
花叶类,对数主模型,月份_09,0.2683969997809866,9.476340133125702e-07,0.1512896254311342,0.07633848640999423,-0.028462272592233995,0.5652562721542072
花叶类,对数主模型,月份_10,0.16830748224389286,0.001536182956037999,0.15825128506883518,0.2877753860079298,-0.14221190204161904,0.47882686652940476
花叶类,对数主模型,月份_11,-0.3993126102335879,6.382108996755889e-14,0.17970054437032407,0.026485830700737917,-0.751919556643992,-0.04670566382318381
花叶类,对数主模型,月份_12,-0.28765981304760696,1.0041162071743207e-07,0.16526632970349375,0.08204519091289683,-0.6119440608521864,0.03662443475697247
花叶类,对数主模型,星期_2,-0.03653620508849931,0.35707040991127753,0.022855788690655236,0.11021614782494034,-0.08138364773956497,0.00831123756256636
花叶类,对数主模型,星期_3,-0.016847278319376748,0.6716907567034689,0.025908869095171084,0.5156699558170952,-0.0676854505052582,0.0339908938665047
花叶类,对数主模型,星期_4,-0.05026854517811984,0.206207182959392,0.027873719204360794,0.07160159707841734,-0.1049621302654101,0.004425039909170411
花叶类,对数主模型,星期_5,0.04100504353758071,0.30323263651900684,0.02998219045027448,0.1717109521806123,-0.01782576667732881,0.09983585375249023
花叶类,对数主模型,星期_6,0.37255820039352877,4.6536989179086517e-20,0.02789169106143686,9.658182942227493e-38,0.31782935107447385,0.4272870497125837
花叶类,对数主模型,星期_7,0.3251177333707839,7.002246113935509e-16,0.028949131013344516,9.702991922689536e-28,0.2683139839797173,0.38192148276185056
花菜类,对数主模型,截距,5.931130634552286,3.330080305449857e-141,0.30993756193334526,2.206841398726479e-70,5.322972372285361,6.539288896819211
花菜类,对数主模型,日平均售价,-1.0673360170463393,6.492458988991072e-37,0.11864722875217151,1.051735759738021e-18,-1.300145141602287,-0.8345268924903916
花菜类,对数主模型,月份_02,-0.18637489682403174,0.06170130816167612,0.1468865821936473,0.2047772780427543,-0.4745951693846954,0.10184537573663194
花菜类,对数主模型,月份_03,-0.7509048395261807,1.6452531825665776e-14,0.2314145915772623,0.001211740936302009,-1.2049856388941018,-0.29682404015825964
花菜类,对数主模型,月份_04,-0.658401022583912,1.8923141149883842e-11,0.1526259569072906,1.7538135705754197e-05,-0.9578830735833526,-0.35891897158447134
花菜类,对数主模型,月份_05,-0.6424486687623245,5.571786305851627e-11,0.16645089753443587,0.00012036686300140205,-0.9690579637631109,-0.31583937376153814
花菜类,对数主模型,月份_06,-0.42733629429309283,1.1793366981870423e-05,0.13702760138464676,0.0018658586437323456,-0.6962113135739549,-0.15846127501223067
花菜类,对数主模型,月份_07,0.03294245447592402,0.7320539516508406,0.14613631823435055,0.8216936839478457,-0.25380565310131137,0.31969056205315943
花菜类,对数主模型,月份_08,-0.22189870333347592,0.021226110417874724,0.2951080800120049,0.4522633543018895,-0.8009586146314378,0.3571612079644859
花菜类,对数主模型,月份_09,-0.13634071699525455,0.16310598571893226,0.22559984348260356,0.5457414270706076,-0.5790118405732884,0.3063304065827792
花菜类,对数主模型,月份_10,-0.016402029160525848,0.866056973638504,0.14647095885357414,0.9108592426441982,-0.30380676724166483,0.2710027089206131
花菜类,对数主模型,月份_11,-0.49101959182856664,8.986062050163408e-07,0.17883673316159468,0.006141258242913258,-0.8419323246726068,-0.14010685898452646
花菜类,对数主模型,月份_12,-0.45251707872520325,4.90988948923482e-06,0.13115039128653447,0.000581785779460696,-0.7098598595192238,-0.19517429793118274
花菜类,对数主模型,星期_2,0.032574687750337894,0.6607764034268505,0.047613061138470344,0.49402661884085897,-0.06085147312721417,0.12600084862788996
花菜类,对数主模型,星期_3,0.0028166289222559364,0.96974838212446,0.0585322605902568,0.9616288678404934,-0.1120351420766422,0.11766839992115408
花菜类,对数主模型,星期_4,-0.0032732058998874367,0.9648496529388376,0.05804290497314482,0.9550394257891692,-0.11716476523590433,0.11061835343612944
花菜类,对数主模型,星期_5,0.1452043027494839,0.05119682242489517,0.05855862143827196,0.01330544337792309,0.03030080659852359,0.2601077989004442
花菜类,对数主模型,星期_6,0.4520126341557592,1.6887654934699099e-09,0.05596331064001757,1.787993697584273e-15,0.34220164662254565,0.5618236216889728
