分类,模型,售价效应,稳健标准误,稳健p值,稳健95%下限,稳健95%上限,模型R²,调整R²,模型整体F检验p值,样本数,验证起点,验证RMSE,验证MAE,验证MAPE,校正后q值,售价检验结论
花叶类,对数主模型,-0.7950517001280198,0.12145136449219722,9.151280613460195e-11,-1.0333625796026995,-0.5567408206533401,0.4229428989949453,0.41319897046015075,9.68923911063227e-114,1085,2022-11-21,81.0631867169091,49.43634852248611,30.20095296583374,1.830256122692039e-10,通过多重检验校正
花菜类,对数主模型,-1.0673360170463393,0.11864722875217151,1.051735759738021e-18,-1.300145141602287,-0.8345268924903916,0.27382300829215345,0.26153805918431394,6.651412277584474e-62,1083,2022-11-21,19.21506909993476,11.21934575740242,51.38967487721074,6.310414558428127e-18,通过多重检验校正
水生根茎类,对数主模型,-0.6155981729215585,0.20177428781529635,0.00233779184137142,-1.0115180391634047,-0.21967830667971233,0.4578302969801842,0.44867546146953063,6.682726466593589e-128,1085,2022-11-21,31.169519638535895,17.568639152844423,65.29498940255648,0.00350668776205713,通过多重检验校正
茄类,对数主模型,-0.40295482810509353,0.16500334691621385,0.014769207248277532,-0.7267355470463007,-0.07917410916388634,0.4165140135825105,0.4063270613463177,3.0039749000477065e-107,1050,2022-11-27,10.324669408868912,7.642003484980222,72.68293244100371,0.017723048697933036,通过多重检验校正
辣椒类,对数主模型,-0.6346499616294873,0.0816290078035786,1.7735619056116698e-14,-0.7948217367400592,-0.4744781865189154,0.4263660627141628,0.4166799361933887,4.3343573792304e-115,1085,2022-11-21,58.790459256829614,34.279891977663944,37.27520144932146,5.32068571683501e-14,通过多重检验校正
食用菌,对数主模型,-0.16834598851778185,0.13764060491018637,0.2215683735721112,-0.4384232638511585,0.10173128681559482,0.3670933484404628,0.3564063693334537,7.604191536945948e-93,1085,2022-11-21,51.46712279812328,31.564828298726216,54.443219656609934,0.2215683735721112,未通过多重检验校正
