品类,最终模型,价格弹性,稳健标准误,稳健概率值,稳健区间下限,稳健区间上限,模型决定系数,调整决定系数,样本数,平滑还原因子,回测加权误差,加成率百分之五分位,加成率中位数,加成率百分之九十五分位,加成率与销量相关系数,加成率与对数销量相关系数,解释边界
花叶类,不含趋势,-0.8113941720060939,0.10613683057394416,4.65474725852345e-14,-1.0196549976006613,-0.6031333464115266,0.4585307810760205,0.44938777362702276,1085,1.0573131886139497,0.2740865113900975,0.45816526488918996,0.6698504077180216,0.911363589599917,0.18454805003575522,0.08423946960115455,价格与销量的条件关联，不单独作因果证明
花菜类,不含趋势,-0.927382006695838,0.11240134559220473,4.61331058622305e-16,-1.147935248097284,-0.7068287652943922,0.31574337098605487,0.30417847021398825,1084,1.1227078569816493,0.22989778056229973,0.2843646743417992,0.5241500861216191,0.7901966419277375,0.1362180326279754,0.09143973871100612,价格与销量的条件关联，不单独作因果证明
水生根茎类,不含趋势,-0.511497258240825,0.18434279723157737,0.005621698739800292,-0.8732131954537178,-0.1497813210279323,0.5784746432456448,0.5713569542948207,1085,1.17198866997871,0.39838782911648407,0.2710303679823981,0.45908502775102367,0.6937173145408114,-0.19770502554261554,-0.2805622236534824,价格与销量的条件关联，不单独作因果证明
茄类,含时间趋势,-0.07265197926974448,0.1531610000528567,0.6353506119908686,-0.3731951877811136,0.22789122924162464,0.4985849162579844,0.4893355118006074,1050,1.1133412852752613,0.3655856644000595,0.33437070880427683,0.5687564469518801,0.9193631460057826,0.05717800263841007,0.029253551061239932,价格与销量的条件关联，不单独作因果证明
辣椒类,含时间趋势,-0.5248776352317224,0.09629811256050191,6.238231343379979e-08,-0.713833210044102,-0.3359220604193427,0.4587512981896674,0.44909521806347374,1085,1.0872181196333817,0.26774701401558226,0.3246382322765557,0.5841404032392497,1.1344405294324065,0.2721354236662548,0.2817587830284102,价格与销量的条件关联，不单独作因果证明
食用菌,不含趋势,-0.663610472000759,0.10795503833312328,1.1135354638033836e-09,-0.8754389700703893,-0.4517819739311286,0.4176463770364036,0.4078130137968682,1085,1.108730619044108,0.33237111462996927,0.37114076030809817,0.5860434806140511,0.7705315514411196,-0.09000211593319392,-0.13728033523364483,价格与销量的条件关联，不单独作因果证明
