品类,入选价格响应模型,价格响应系数,参考中位售价,参考中位加成率,参考价处价格弹性,稳健概率值,负向回测折数,回测折数,半对数售价滚动WAPE,半对数加成滚动WAPE,对数-对数基准WAPE,三模型最佳WAPE,入选模型预测不过度劣化,入选模型统计稳定,价格关系可靠,处理
花叶类,半对数售价,-0.1372998863826045,5.553085270963802,0.6875065822697932,-0.7624379767762446,4.219811104567294e-11,8,8,0.368633001788765,0.38203311335095347,0.3638373923431627,0.3638373923431627,是,是,是,半对数售价局部稳健利润优化
花菜类,半对数售价,-0.11594799683910373,9.646567983082814,0.5384615384615383,-1.1185002340106853,2.0852003361396278e-22,8,8,0.2675234961786229,0.3306124219198783,0.27117480793379795,0.2675234961786229,是,是,是,半对数售价局部稳健利润优化
水生根茎类,半对数加成,-1.1308929582698715,8.679076277116865,0.48966183750197123,-1.6846480822343368,3.6606243884443126e-05,8,8,0.5178953914716692,0.5116716100023752,0.5245554958520728,0.5116716100023752,是,是,是,半对数加成局部稳健利润优化
茄类,半对数加成,-0.04387459800760854,8.383790567008218,0.5746668014388212,-0.06908787290905502,0.7061459942422672,8,8,0.3583298912108219,0.3563217708239593,0.35984973131132825,0.3563217708239593,是,否,否,同星期条件中位加成
辣椒类,半对数售价,-0.05806079901853581,7.819056413339919,0.5945471165067386,-0.4539806629295225,5.8749005095315443e-08,8,8,0.34184922669139667,0.36551083699110515,0.31043498540717673,0.31043498540717673,否,是,否,同星期条件中位加成
食用菌,半对数售价,-0.027904440318198234,8.414853495793444,0.6143794133185154,-0.23481177715974993,0.07772896169863579,5,8,0.3909457783380936,0.39563481727182415,0.39873619924799325,0.3909457783380936,是,否,否,同星期条件中位加成
