品类,价格响应模型,含时间趋势,验证截止日,WAPE,MAE,RMSE,价格系数
辣椒类,对数-对数,是,2023-01-27,0.185521040110769,31.175856682408448,36.3985626029129,-0.6675960299435822
辣椒类,对数-对数,是,2023-03-03,0.09936448061356985,10.613886700328703,13.948708558299964,-0.6623800610700047
辣椒类,对数-对数,是,2023-04-07,0.08064625240503404,6.179991447156963,9.052703753128949,-0.6572043933145786
辣椒类,对数-对数,是,2023-05-12,0.16369820344733016,12.516715417447392,16.568906672461654,-0.6251956760909044
辣椒类,对数-对数,是,2023-06-16,0.3340545913266081,33.64769643345708,41.18376894908771,-0.5766948052658377
食用菌,半对数,否,2022-10-14,0.5165183730242576,74.64627602105865,102.12378344569206,0.012153555105437948
食用菌,半对数,否,2022-11-18,0.6963299186165001,108.21762740921689,162.55168479131524,0.003846166041502303
食用菌,半对数,否,2022-12-23,0.24476899138236902,29.453822007013382,32.09954194431985,0.0025703383063378805
食用菌,半对数,否,2023-01-27,0.18898397916555343,20.79317828938049,23.36664628074476,-0.0010894643155069036
食用菌,半对数,否,2023-03-03,0.236345637951801,13.743904010848002,15.023406365286375,-0.002512187499967941
食用菌,半对数,否,2023-04-07,0.27238342720426145,14.016345308995056,19.108964179576976,-0.010164685598178638
食用菌,半对数,否,2023-05-12,0.32604764757451093,18.293555362463085,20.50520533101298,-0.021502595487424156
食用菌,半对数,否,2023-06-16,0.2547820581016616,13.218165969187949,16.967564027658316,-0.02724622100886083
食用菌,半对数,是,2022-10-14,0.646238641127129,93.3932082582163,117.24609266589378,-0.02374624769917444
食用菌,半对数,是,2022-11-18,0.6924096470942689,107.60837241155905,172.08263418117545,-0.025917809254110885
食用菌,半对数,是,2022-12-23,0.38616326172315907,46.46823893911316,47.8792792641849,-0.025979905146751178
食用菌,半对数,是,2023-01-27,0.2717040478679147,29.894548385579164,33.470266823920284,-0.022060599881308707
食用菌,半对数,是,2023-03-03,0.31969481634421576,18.59080161867274,20.952953302653167,-0.02108072105829674
食用菌,半对数,是,2023-04-07,0.2952549686587407,15.193272356522714,21.033759307613163,-0.02205531166022706
食用菌,半对数,是,2023-05-12,0.35179957796087097,19.738418920650588,21.93190726690232,-0.030068713648265827
食用菌,半对数,是,2023-06-16,0.2594516895713881,13.46042778401778,17.691658960030114,-0.033266732874403265
食用菌,对数-对数,否,2022-10-14,0.5266668452997872,76.11291438715541,103.46192049898315,0.19066659491931562
食用菌,对数-对数,否,2022-11-18,0.7020619030900321,109.10844330479775,163.35434720520203,0.11436604525159924
食用菌,对数-对数,否,2022-12-23,0.25260447256146323,30.39669008309178,32.99382080083745,0.09777988509429153
食用菌,对数-对数,否,2023-01-27,0.1951865555980426,21.47562385002389,24.114803103276333,0.06932053997863483
食用菌,对数-对数,否,2023-03-03,0.24206399668621753,14.076436374155012,15.444485062045304,0.05713358636929623
食用菌,对数-对数,否,2023-04-07,0.2854866765891258,14.690614187734175,19.73372211177856,-0.005169983602512501
食用菌,对数-对数,否,2023-05-12,0.33921353770578794,19.032253960058647,21.2048961872094,-0.11055320189144052
食用菌,对数-对数,否,2023-06-16,0.25667254488734054,13.316244963768055,17.30909625324313,-0.16132604800191175
食用菌,对数-对数,是,2022-10-14,0.6482944948046687,93.69031641368038,117.57286184879102,-0.08183682040685702
食用菌,对数-对数,是,2022-11-18,0.6939988416998046,107.85535141548337,171.88924212206797,-0.10851370331411408
食用菌,对数-对数,是,2022-12-23,0.3831964724636363,46.11123586331996,47.5412708888647,-0.11459156025336692
食用菌,对数-对数,是,2023-01-27,0.27100366755173133,29.81748824085644,33.34909381601903,-0.0848543605255791
食用菌,对数-对数,是,2023-03-03,0.31675273819589733,18.41971473078548,20.705851364176254,-0.0763478237841399
食用菌,对数-对数,是,2023-04-07,0.3033547763269032,15.610073416626404,21.28015862865193,-0.08234708354501816
食用菌,对数-对数,是,2023-05-12,0.3577165169189627,20.070400614772243,22.233350702048654,-0.1602867445382714
食用菌,对数-对数,是,2023-06-16,0.25901729589096645,13.437891315765025,17.719769597165335,-0.18868288062369482
