口径,品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差,价格系数
全量有效,水生根茎类,对数需求（星期、月份和趋势）,2023-05-12,7,0.23994507399846715,2.912179085251682,4.0035631026343115,-0.39583229458658015
全量有效,水生根茎类,对数需求（星期、月份和趋势）,2023-06-16,7,0.31628675719465965,6.948865239389129,11.423265629065764,-0.3624869717114234
全量有效,茄类,对数需求（星期和月份）,2022-10-14,7,1.0318788411629778,12.341713174098285,13.77235182440244,-0.621314207104875
全量有效,茄类,对数需求（星期和月份）,2022-11-18,7,0.7344856507421735,13.675388331168529,19.920266406601765,-0.5341296529538437
全量有效,茄类,对数需求（星期和月份）,2022-12-23,7,0.459650833395405,3.5381951222635157,4.095601899347949,-0.38084900613436495
全量有效,茄类,对数需求（星期和月份）,2023-01-27,7,0.38082707771470203,6.391475249154089,7.4726986724087805,-0.27721537643074995
全量有效,茄类,对数需求（星期和月份）,2023-03-03,7,0.6681815299572396,7.4610104180068175,7.638430537650661,-0.30576420255743353
全量有效,茄类,对数需求（星期和月份）,2023-04-07,7,0.5739252981719952,8.122354798386697,8.521976130593224,-0.3122886864500145
全量有效,茄类,对数需求（星期和月份）,2023-05-12,7,0.4650575856886236,9.505112683495911,10.45931814191283,-0.31721450655857086
全量有效,茄类,对数需求（星期和月份）,2023-06-16,7,0.21843000609325713,7.094825027915085,8.66929184323581,-0.3180273417300497
全量有效,茄类,对数需求（星期、月份和趋势）,2022-10-14,7,0.7233872542588262,8.65202158404453,12.002641300654773,-0.2389002662234667
全量有效,茄类,对数需求（星期、月份和趋势）,2022-11-18,7,0.7761630349325453,14.451379547409061,21.89339704105141,-0.15622541466135562
全量有效,茄类,对数需求（星期、月份和趋势）,2022-12-23,7,0.3179572032255111,2.447498283057173,2.925703418485785,-0.09216790319184064
全量有效,茄类,对数需求（星期、月份和趋势）,2023-01-27,7,0.2078619982770343,3.488577611654649,5.492882004925371,-0.022388301248110642
全量有效,茄类,对数需求（星期、月份和趋势）,2023-03-03,7,0.18063122120830924,2.016954020472154,2.22757529045971,-0.018498126831085215
全量有效,茄类,对数需求（星期、月份和趋势）,2023-04-07,7,0.16587879022381505,2.3475640331874947,2.7911441173775917,-0.04230472276058221
全量有效,茄类,对数需求（星期、月份和趋势）,2023-05-12,7,0.25452870013967993,5.202203018426287,5.489235036484048,-0.09121299322763683
全量有效,茄类,对数需求（星期、月份和趋势）,2023-06-16,7,0.29827711293475345,9.688338905233726,13.311413146548874,-0.0748445621289351
全量有效,辣椒类,对数需求（星期和月份）,2022-10-14,7,0.5393508807584421,96.26465504990574,137.30325398819443,-0.4428736860260078
全量有效,辣椒类,对数需求（星期和月份）,2022-11-18,7,0.5572201224531103,109.48523655445013,164.69631292310459,-0.6055491450451224
全量有效,辣椒类,对数需求（星期和月份）,2022-12-23,7,0.19279090965600118,23.935597348080034,25.770885979698473,-0.6435206592912229
全量有效,辣椒类,对数需求（星期和月份）,2023-01-27,7,0.1606781146912178,27.991413004127672,32.14511662691996,-0.6569170607859602
全量有效,辣椒类,对数需求（星期和月份）,2023-03-03,7,0.07808129030192835,9.290546944455118,14.733991531047002,-0.6444041677971657
全量有效,辣椒类,对数需求（星期和月份）,2023-04-07,7,0.07017864678129819,6.867943037563028,9.356826604969138,-0.6623105361959368
全量有效,辣椒类,对数需求（星期和月份）,2023-05-12,7,0.2464930775434062,21.088257476367822,25.15140989739111,-0.6631270921248288
全量有效,辣椒类,对数需求（星期和月份）,2023-06-16,7,0.38832231580453985,41.98246863011004,48.92801278618909,-0.6569174183367339
全量有效,辣椒类,对数需求（星期、月份和趋势）,2022-10-14,7,0.5552956115069858,99.11050931682335,139.4375102666373,-0.487818924000292
全量有效,辣椒类,对数需求（星期、月份和趋势）,2022-11-18,7,0.5589515050205976,109.82542676354215,164.93527825050867,-0.6203995855724102
全量有效,辣椒类,对数需求（星期、月份和趋势）,2022-12-23,7,0.19303877744009149,23.966370912487882,25.799880738569858,-0.6581055958186356
全量有效,辣椒类,对数需求（星期、月份和趋势）,2023-01-27,7,0.1583628969518655,27.58808355219059,31.496315058599226,-0.6366784825401124
全量有效,辣椒类,对数需求（星期、月份和趋势）,2023-03-03,7,0.07623623188390762,9.071011614267823,14.173219509886927,-0.6294445545422858
