口径,品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差,价格系数
正常销售,花叶类,对数需求（星期和月份）,2022-10-14,7,0.30020540424461495,85.06787591972058,144.26016987715482,-0.8966640838973602
正常销售,花叶类,对数需求（星期和月份）,2022-11-18,7,0.6237720620144233,268.47621833662015,434.1763732341716,-0.8624584839372555
正常销售,花叶类,对数需求（星期和月份）,2022-12-23,7,0.32876214014181365,83.97411661174279,88.12873693132859,-0.8663666132683889
正常销售,花叶类,对数需求（星期和月份）,2023-01-27,7,0.24369234904419937,48.09592271079576,49.89922208924861,-0.8141436905367925
正常销售,花叶类,对数需求（星期和月份）,2023-03-03,7,0.2845250292440074,32.262618237439995,34.558407917520384,-0.8007074268571941
正常销售,花叶类,对数需求（星期和月份）,2023-04-07,7,0.45127839829558447,51.77594425656377,52.977778135649146,-0.8032881833406776
正常销售,花叶类,对数需求（星期和月份）,2023-05-12,7,0.11804113073936666,17.5570667997625,21.268062098846283,-0.7953099094127558
正常销售,花叶类,对数需求（星期和月份）,2023-06-16,7,0.20170428518715514,31.916994530466212,35.21625077049993,-0.793984427075664
正常销售,花叶类,对数需求（星期、月份和趋势）,2022-10-14,7,0.3093112090890929,87.64814751279313,166.10384023854118,-1.0518607329831966
正常销售,花叶类,对数需求（星期、月份和趋势）,2022-11-18,7,0.6804316473714088,292.86293286827015,458.79694550898796,-1.08590164981854
正常销售,花叶类,对数需求（星期、月份和趋势）,2022-12-23,7,0.4859641175680545,124.1274541532657,127.08376736086954,-1.0911131192070107
正常销售,花叶类,对数需求（星期、月份和趋势）,2023-01-27,7,0.3950485607971248,77.96808197562031,79.0718998708598,-0.9557386106643377
正常销售,花叶类,对数需求（星期、月份和趋势）,2023-03-03,7,0.07756539704733646,8.795229017365537,13.134623788782077,-0.9211595240761942
正常销售,花叶类,对数需求（星期、月份和趋势）,2023-04-07,7,0.26279136201365827,30.15050346330475,32.621841279110676,-0.9242526850584002
正常销售,花叶类,对数需求（星期、月份和趋势）,2023-05-12,7,0.14526399188702652,21.60610960930182,27.459061695461415,-0.9193156269141206
正常销售,花叶类,对数需求（星期、月份和趋势）,2023-06-16,7,0.22771610760129196,36.03301612588809,44.49693291982301,-0.9018253408441231
正常销售,花菜类,对数需求（星期和月份）,2022-10-14,7,0.2413973633043843,11.737739878649998,21.71433470338259,-1.2466073333702414
正常销售,花菜类,对数需求（星期和月份）,2022-11-18,7,0.44570735275794,31.74295930102566,43.0762183553175,-1.2581766528987839
正常销售,花菜类,对数需求（星期和月份）,2022-12-23,7,0.20759657404366125,7.544978857003129,9.115315360903155,-1.193124271140547
