品类,样本数,OLS系数,p值,R²
花叶类,476,0.329,0.4318,0.251
花菜类,763,0.274,0.3374,0.181
水生根茎类,698,-0.47,0.1171,0.583
茄类,970,-0.366,0.1094,0.399
辣椒类,642,0.85,0.0,0.431
食用菌,456,-0.536,0.3973,0.416
