品类,样本数,一阶段F值,OLS系数(有偏),OLS_p值,IV弹性β(需求),IV标准误,IV_p值,IV_95%CI下,IV_95%CI上,显著性
花叶类,1085,801.4,0.251,0.2064,-0.839,0.048,0.0,-0.933,-0.744,***
花菜类,1084,126.9,0.228,0.3207,-0.955,0.073,0.0,-1.097,-0.813,***
水生根茎类,1085,850.0,-0.816,0.0005,-0.418,0.093,0.0,-0.601,-0.235,***
茄类,1050,380.3,-0.324,0.1118,-0.245,0.088,0.0056,-0.418,-0.072,***
辣椒类,1085,916.4,1.348,0.0,-0.689,0.036,0.0,-0.759,-0.619,***
食用菌,1085,735.3,-0.609,0.0441,-0.648,0.064,0.0,-0.774,-0.522,***
