品类,策略,七天预计毛利,毛利P10,毛利P50,毛利P90,七天补货量
水生根茎类,A传统基准,11.787571682828363,-981.9921182647466,97.10291076487823,934.539243667873,256.3
水生根茎类,B仅优化补货,355.37047240416825,19.77335295230335,477.5685904437588,571.5510174499852,140.29999999999998
水生根茎类,C期望利润最大,355.37047240416825,19.77335295230335,477.5685904437588,571.5510174499852,140.29999999999998
水生根茎类,D稳健经营,355.37047240416825,19.77335295230335,477.5685904437588,571.5510174499852,140.29999999999998
花叶类,A传统基准,1107.8635024521222,132.42587458043448,1292.6010407869894,1818.629062046826,1203.5
花叶类,B仅优化补货,1246.6962309285934,696.1374432212823,1381.7570869863105,1634.9282660675851,999.1
花叶类,C期望利润最大,1246.6962309285934,696.1374432212823,1381.7570869863105,1634.9282660675851,999.1
花叶类,D稳健经营,1245.7889760190797,695.5469874429887,1380.659334486962,1633.7695566357647,999.1
花菜类,A传统基准,64.20481130174818,-187.4928271325173,95.00657943623918,295.1752945898015,120.49999999999999
花菜类,B仅优化补货,147.04347335749134,13.354511538371847,184.30325180142313,229.7220326562721,79.50000000000001
花菜类,C期望利润最大,147.04347335749134,13.354511538371847,184.30325180142313,229.7220326562721,79.50000000000001
花菜类,D稳健经营,147.04347335749134,13.354511538371847,184.30325180142313,229.7220326562721,79.50000000000001
茄类,A传统基准,199.86396811542357,-167.4026561821249,251.19158758120244,487.64604867337835,248.60000000000002
茄类,B仅优化补货,258.73047234397717,56.71961093458988,306.4651113499476,390.4019259471444,179.70000000000002
茄类,C期望利润最大,258.73047234397717,56.71961093458988,306.4651113499476,390.4019259471444,179.70000000000002
茄类,D稳健经营,258.73047234397717,56.71961093458988,306.4651113499476,390.4019259471444,179.70000000000002
辣椒类,A传统基准,673.208813567225,-102.13857736725257,735.7163567114991,1331.7852083124908,741.1999999999999
辣椒类,B仅优化补货,784.9827703855711,318.12563550715,848.7958803332451,1130.546126463276,579.5999999999999
辣椒类,C期望利润最大,784.9827703855711,318.12563550715,848.7958803332451,1130.546126463276,579.5999999999999
辣椒类,D稳健经营,784.9827703855711,318.12563550715,848.7958803332451,1130.546126463276,579.5999999999999
食用菌,A传统基准,305.60548151931215,-113.04861012679925,360.4092350785301,610.4010387445342,403.7
食用菌,B仅优化补货,368.38195215194787,127.30647614865498,422.3903893781987,519.0655845810736,313.4
食用菌,C期望利润最大,368.38195215194787,127.30647614865498,422.3903893781987,519.0655845810736,313.4
食用菌,D稳健经营,368.38195215194787,127.30647614865498,422.3903893781987,519.0655845810736,313.4
