敏感性类型,品类,价格响应系数,稳健标准误7,样本数,方向,可靠性,说明
单品固定效应,花叶类,-0.009344456071372385,0.0025393859905682614,17943,负,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。
单品固定效应,花菜类,-0.004648894792021377,0.0013781666515304029,1870,负,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。
单品固定效应,水生根茎类,-0.0007604022981716574,0.0004169084465485752,3186,负,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。
单品固定效应,茄类,-0.003197276848416315,0.000851933619327786,3203,负,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。
单品固定效应,辣椒类,-0.013445912810827519,0.0030312385363984937,10588,负,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。
单品固定效应,食用菌,-0.014847920476254932,0.0023088707407960016,9290,负,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。
