品类,价格口径,价格响应模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,价格响应系数,回测误差,泄漏检查,是否伪未来
食用菌,销量加权,半对数加成,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,-0.6217872339726874,0.6474919980199255,通过,否
食用菌,销量加权,半对数加成,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,-0.24998271020162813,0.2085189623829275,通过,否
食用菌,销量加权,半对数加成,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,-0.34586157159729425,0.36417499340493775,通过,否
食用菌,销量加权,半对数加成,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,-0.3075043274612607,0.37477733508038824,通过,是
食用菌,销量加权,半对数加成,八折主要回测,2022-09-30,2022-10-01,2022-10-07,819,7,-0.4959410277942124,0.5722169551777622,通过,否
食用菌,销量加权,半对数加成,八折主要回测,2022-12-31,2023-01-01,2023-01-07,905,7,-0.5262354781205327,0.17114895789734408,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,980,7,-0.49106056365113687,0.34877716929541536,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,987,7,-0.5108808027827051,0.24198001721309817,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,994,7,-0.5294228096281052,0.4427195315996716,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1001,7,-0.5807592377202222,0.2411063288248296,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1008,7,-0.5950880257997804,0.2161098458789614,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1015,7,-0.6031236573245706,0.26351299031735936,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1022,7,-0.6128386837089556,0.3253086202319702,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1029,7,-0.6357784052347749,0.2850593624615402,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1036,7,-0.6439729367111223,0.2972525051146472,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1043,7,-0.6184269064140514,0.212280550956217,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1050,7,-0.6110069353220579,0.1928489027553601,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1057,7,-0.6049280798529212,0.18428614250391634,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1064,7,-0.599356089837154,0.16610221376652223,通过,否
食用菌,销量加权,半对数加成,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1071,7,-0.5907978350507551,0.1729554251273326,通过,否
食用菌,固定篮子,半对数加成,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,-0.6375533713111803,0.30599918372193663,通过,否
食用菌,固定篮子,半对数加成,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,-0.6283237834186445,0.7154267198039013,通过,是
食用菌,固定篮子,半对数加成,八折主要回测,2021-09-30,2021-10-01,2021-10-07,454,7,-0.5036823549970993,0.5632784034833127,通过,否
食用菌,固定篮子,半对数加成,八折主要回测,2021-12-31,2022-01-01,2022-01-07,546,7,-0.29940725738043333,0.1960004599632468,通过,否
食用菌,固定篮子,半对数加成,八折主要回测,2022-03-31,2022-04-01,2022-04-07,635,7,-0.23843383651972855,0.34657529404296916,通过,否
食用菌,固定篮子,半对数加成,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,-0.007315658066898971,0.4566869315252002,通过,是
食用菌,固定篮子,半对数加成,八折主要回测,2022-09-30,2022-10-01,2022-10-07,818,7,-0.035219738909958255,0.5539037417246194,通过,否
食用菌,固定篮子,半对数加成,八折主要回测,2022-12-31,2023-01-01,2023-01-07,904,7,-0.06299669934577225,0.18908536206855528,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,979,7,-0.053816952157019884,0.35762215997531543,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,986,7,-0.0625918758887543,0.26745590394052315,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,-0.07036215286069378,0.4821271863860303,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,-0.08725697092508167,0.2576364188857429,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,-0.09451269036665638,0.23196681550203255,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,-0.09850902567261798,0.2982000794077375,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1021,7,-0.10271009471955213,0.39458970788328146,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1028,7,-0.11635849863881674,0.3308473145532314,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1035,7,-0.12203658155628407,0.2605047220805488,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1042,7,-0.1156174866692032,0.20155207164244626,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1049,7,-0.11058560735196224,0.191482238187131,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1056,7,-0.10899790236280074,0.17817854193642496,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1063,7,-0.10767741462031578,0.19313495233112718,通过,否
食用菌,固定篮子,半对数加成,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1070,7,-0.10283883785324224,0.1842087491635739,通过,否
