品类,主价格口径,主价格响应模型,价格响应系数,参考点弹性,稳健标准误7,稳健标准误14,稳健概率值,百分之九十五区间下限,百分之九十五区间上限,主要折负向数,主要折总数,伪未来2021系数,伪未来2022系数,自助法负向比例,加成有效变异四分位距,售价有效变异四分位距,价格关系是否可靠,可靠性判定,价格关系说明,候选未来价格支持检查,端到端不过度劣化,未来参考价格支持
花叶类,销量加权,半对数加成,-0.46852260393698597,-0.7906349780858472,0.15634905851889047,0.1515209787452002,0.002729685043795481,-0.7465328773294241,-0.19051233054454786,7,8,-0.05132189248901201,-0.4985659644747199,1.0,0.161697331992805,2.056992056947724,是,通过全部已实施门槛,在控制日期、成本和商品结构后，历史数据中观察到成本加成偏离与正常销量之间的条件关联。,待联合优化后复核,是,是
花菜类,固定篮子,半对数加成,-0.12623550549359563,-0.19245521428650447,0.030668312760850046,0.032251961566299024,3.852465535356495e-05,-201.72323238507602,201.47076137408885,3,8,0.0925026329789632,-0.38853950755872463,0.825,0.19390258282187445,3.3694047487196457,否,未通过：主要折至少七折为负、伪未来方向不冲突、固定篮子与销量加权方向一致、提前一期安慰剂不过强；端到端回测明显劣化,价格关系不可识别，最终不用于精细调价。,待联合优化后复核,否,是
水生根茎类,固定篮子,半对数加成,-0.6846492353141697,-1.0076003641583022,0.181535234397993,0.2033713742555239,0.0001623082200215694,-1.0729781491473065,-0.2963203214810329,6,8,0.14303770270220983,-0.42463922955905287,1.0,0.1826932552435599,3.475503032155152,否,未通过：主要折至少七折为负、伪未来方向不冲突；端到端回测明显劣化,价格关系不可识别，最终不用于精细调价。,待联合优化后复核,否,是
茄类,固定篮子,半对数加成,-0.12209755635214331,-0.1919488255650027,0.15552721292384883,0.16523351749055856,0.4324207936060094,-0.47753198571158045,0.23333687300729383,8,8,-0.2558842475997832,-0.3661922383685553,0.7916666666666666,0.21108615102795114,3.429234433017477,否,未通过：95%区间上限小于0或显著、提前一期安慰剂不过强；,价格关系不可识别，最终不用于精细调价。,待联合优化后复核,是,是
辣椒类,固定篮子,半对数加成,-0.04716502946951269,-0.07476355886208619,0.11383329527518297,0.12361894206190535,0.6786293568363091,-0.2647084772677551,0.17037841832872969,8,8,-0.4940665828682103,-0.2604495742797933,0.7166666666666667,0.23272817053630634,4.629099416169742,否,未通过：95%区间上限小于0或显著、提前一期安慰剂不过强；,价格关系不可识别，最终不用于精细调价。,待联合优化后复核,是,是
食用菌,销量加权,半对数加成,-0.5636118347510827,-0.9098833431248249,0.16493409233285722,0.1839247762059268,0.000632701140060996,-0.9077306312864207,-0.21949303821574462,8,8,-0.9698444315886156,-0.2605023947718502,1.0,0.1597336098202249,3.1389138703759425,否,通过全部已实施门槛；端到端回测明显劣化,价格关系不可识别，最终不用于精细调价。,待联合优化后复核,否,是
