品类,成本口径,成本预测方法,池化加权绝对百分比误差,折均加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度,回测折数,是否入选
花叶类,销量加权成本,近7日均值,0.08438707252232171,0.08385560621641584,0.27484869331062595,0.20732364016298757,0.5649350649350648,0.9415584415584416,1.5360634938227706,22,否
花叶类,销量加权成本,近14日均值,0.09459303889796791,0.09584991502297337,0.3080895255669714,0.20732364016298757,0.5909090909090908,0.9350649350649352,1.5360634938227706,22,否
花叶类,销量加权成本,近7日中位数,0.08130265739868897,0.08169805858397616,0.26480275332220243,0.20732364016298757,0.474025974025974,0.9415584415584416,1.5360634938227706,22,否
花叶类,销量加权成本,近14日中位数,0.09360153714183263,0.09559314133583158,0.30486020436949895,0.20732364016298757,0.5909090909090908,0.9285714285714287,1.536063493822771,22,否
花叶类,销量加权成本,指数加权移动平均,0.07503714434778343,0.07517123454881487,0.24439597745607022,0.20732364016298757,0.6038961038961038,0.9415584415584416,1.536063493822771,22,否
花叶类,销量加权成本,同星期最近4次统计,0.11300762129080871,0.12072278220539281,0.36806582000702776,0.25603733932424855,0.577922077922078,0.8701298701298703,1.536063493822771,22,否
花叶类,销量加权成本,同星期最近8次统计,0.12737682732759778,0.1380395308446973,0.41486632374624643,0.2484627479829757,0.564935064935065,0.8636363636363636,1.536063493822771,22,否
花叶类,销量加权成本,指数加权移动平均加周内收缩,0.08000484759734847,0.08357185161780661,0.2605757868283735,0.20831978896979583,0.538961038961039,0.9415584415584416,1.536063493822771,22,否
花叶类,销量加权成本,阻尼趋势,0.07155542445189703,0.07267873183000559,0.23305601583333638,0.20674017038064105,0.551948051948052,0.9350649350649352,1.536063493822771,22,否
花叶类,销量加权成本,指数平滑,0.07607905044916698,0.07603329720974075,0.24778946560488463,0.20732364016298757,0.5974025974025974,0.9415584415584416,1.536063493822771,22,否
花叶类,销量加权成本,滞后稳健回归,0.07697794185819151,0.07810092166082899,0.25071715490389657,0.20732364016298757,0.525974025974026,0.922077922077922,1.5360634938227706,22,否
花叶类,固定篮子成本,近7日均值,0.061537178167381336,0.06254392683000333,0.20561366757498464,0.12040272019481514,0.6103896103896104,0.9350649350649352,1.3236918696139077,22,否
花叶类,固定篮子成本,近14日均值,0.07146304640499966,0.07434483384490434,0.2387788895266886,0.12040272019481514,0.5909090909090909,0.9285714285714287,1.323691869613908,22,否
花叶类,固定篮子成本,近7日中位数,0.061679874210753584,0.06240124338436392,0.20609045669174267,0.12040272019481514,0.564935064935065,0.9220779220779222,1.323691869613908,22,否
花叶类,固定篮子成本,近14日中位数,0.06831939967423147,0.06980019720426553,0.22827504854595312,0.12040272019481514,0.6428571428571428,0.9415584415584416,1.323691869613908,22,否
花叶类,固定篮子成本,指数加权移动平均,0.05697146390318353,0.058557380817907026,0.1903582840341979,0.12040272019481514,0.6103896103896104,0.948051948051948,1.323691869613908,22,是
花叶类,固定篮子成本,同星期最近4次统计,0.09394882862221915,0.10012395559296744,0.3139104488159241,0.17179824568291605,0.6558441558441559,0.9285714285714285,1.323691869613908,22,否
花叶类,固定篮子成本,同星期最近8次统计,0.10340721998178413,0.10919345072120948,0.34551369411764915,0.16402557228945822,0.6558441558441559,0.8441558441558442,1.323691869613908,22,否
花叶类,固定篮子成本,指数加权移动平均加周内收缩,0.065666315480157,0.06829703294734939,0.2194103201366477,0.12879344581567634,0.6233766233766235,0.961038961038961,1.323691869613908,22,否
花叶类,固定篮子成本,阻尼趋势,0.05857369360967038,0.06036083670301065,0.19571180098215202,0.12072751112094306,0.5584415584415585,0.948051948051948,1.323691869613908,22,否
花叶类,固定篮子成本,指数平滑,0.0575963881504662,0.059190377681448546,0.19244633828476526,0.12040272019481514,0.564935064935065,0.948051948051948,1.323691869613908,22,否
花叶类,固定篮子成本,滞后稳健回归,0.06424379939084043,0.06605013667083982,0.21465727882049848,0.12040272019481514,0.44155844155844154,0.9220779220779222,1.323691869613908,22,否
花菜类,销量加权成本,近7日均值,0.09210634310614209,0.09237671721595858,0.6756548892187142,0.3358092211292962,0.44155844155844154,0.8831168831168831,3.294260107648022,22,否
花菜类,销量加权成本,近14日均值,0.10161532594639328,0.09910539265305934,0.7454089423148045,0.3358092211292962,0.6038961038961039,0.8506493506493507,3.294260107648022,22,否
花菜类,销量加权成本,近7日中位数,0.0956726924861372,0.09661859394413681,0.7018161861934404,0.3358092211292962,0.4025974025974026,0.8766233766233767,3.294260107648022,22,否
花菜类,销量加权成本,近14日中位数,0.10092542706711345,0.09872744012272042,0.7403481231015744,0.3358092211292962,0.5714285714285715,0.8376623376623378,3.294260107648022,22,否
花菜类,销量加权成本,指数加权移动平均,0.08346300969839089,0.08466269253553566,0.61225089032838,0.3358092211292962,0.461038961038961,0.8896103896103895,3.294260107648022,22,否
花菜类,销量加权成本,同星期最近4次统计,0.139959539279155,0.1392280450349549,1.026686586588125,0.43218983475924233,0.6623376623376623,0.7857142857142857,3.294260107648022,22,否
花菜类,销量加权成本,同星期最近8次统计,0.16535916135565315,0.16347601148551216,1.213007943636434,0.43109965754290197,0.577922077922078,0.7077922077922079,3.2942601076480234,22,否
花菜类,销量加权成本,指数加权移动平均加周内收缩,0.0901849662197984,0.0895018119790485,0.6615604453019261,0.3558734246055249,0.6428571428571429,0.9025974025974026,3.2942601076480234,22,否
花菜类,销量加权成本,阻尼趋势,0.07084199634115206,0.07248236254431722,0.5196682397297542,0.3387658116055463,0.5194805194805195,0.9155844155844156,3.294260107648022,22,否
花菜类,销量加权成本,指数平滑,0.08372032319877666,0.0844566136030349,0.6141384381207974,0.3358092211292962,0.461038961038961,0.8896103896103895,3.2942601076480234,22,否
花菜类,销量加权成本,滞后稳健回归,0.07281344417870737,0.07467349402740744,0.5341299838981107,0.3358092211292962,0.4935064935064935,0.9155844155844156,3.294260107648022,22,否
花菜类,固定篮子成本,近7日均值,0.07630255123867166,0.07825235290811516,0.5849380300421134,0.16810058408914072,0.3896103896103896,0.8506493506493507,2.9826389834977363,22,否
花菜类,固定篮子成本,近14日均值,0.08084667550478038,0.08039421655817038,0.6197734458091428,0.16810058408914072,0.5454545454545456,0.8506493506493507,2.9826389834977367,22,否
花菜类,固定篮子成本,近7日中位数,0.08112751208279541,0.0830054577520495,0.6219263488515854,0.16810058408914072,0.3506493506493506,0.8311688311688311,2.9826389834977367,22,否
花菜类,固定篮子成本,近14日中位数,0.07109395740900668,0.07070708074445609,0.5450087673299957,0.16810058408914072,0.5584415584415585,0.8766233766233767,2.9826389834977363,22,否
花菜类,固定篮子成本,指数加权移动平均,0.06470707586838942,0.06667861021984055,0.49604670976005755,0.16810058408914072,0.3896103896103896,0.8831168831168831,2.9826389834977367,22,否
花菜类,固定篮子成本,同星期最近4次统计,0.10360220082463649,0.10443332365644885,0.7942180998487579,0.23634398015156718,0.5519480519480521,0.7792207792207791,2.9826389834977367,22,否
花菜类,固定篮子成本,同星期最近8次统计,0.14021614684290326,0.14183782296205583,1.0749018923080946,0.2313536834603597,0.5974025974025974,0.6623376623376623,2.9826389834977367,22,否
花菜类,固定篮子成本,指数加权移动平均加周内收缩,0.07741530045564537,0.07837027451149202,0.5934684045098234,0.17887166976281968,0.538961038961039,0.8636363636363636,2.9826389834977367,22,否
花菜类,固定篮子成本,阻尼趋势,0.05267129775004582,0.055076057093676065,0.4037800131912046,0.17041028988042267,0.5064935064935067,0.9090909090909091,2.9826389834977367,22,是
花菜类,固定篮子成本,指数平滑,0.06576338256267167,0.06748203002694166,0.5041443938721007,0.16810058408914072,0.3896103896103896,0.8766233766233765,2.9826389834977367,22,否
花菜类,固定篮子成本,滞后稳健回归,0.05441826161257611,0.05842767597967762,0.417172299343038,0.16810058408914072,0.5714285714285716,0.9285714285714285,2.9826389834977367,22,否
水生根茎类,销量加权成本,近7日均值,0.15659001734592923,0.14855594921200957,1.1608563399799168,1.1389483945366952,0.7207792207792209,0.8896103896103896,4.793976696150471,22,否
水生根茎类,销量加权成本,近14日均值,0.17251354003852892,0.16394696855649205,1.278902959974106,1.1389483945366952,0.6363636363636364,0.8766233766233767,4.793976696150471,22,否
水生根茎类,销量加权成本,近7日中位数,0.16450127930828298,0.15551276609087436,1.2195052804545317,1.1389483945366952,0.7207792207792207,0.8896103896103896,4.793976696150471,22,否
水生根茎类,销量加权成本,近14日中位数,0.17857801054038616,0.1690579124494764,1.3238609921017217,1.1389483945366952,0.7077922077922078,0.8571428571428572,4.793976696150471,22,否
水生根茎类,销量加权成本,指数加权移动平均,0.1674120584579284,0.15686356334451318,1.2410839001355203,1.1389483945366952,0.7207792207792209,0.8441558441558442,4.793976696150472,22,否
水生根茎类,销量加权成本,同星期最近4次统计,0.1918977730031287,0.1811664589920704,1.422605030604143,1.4178876740055255,0.6558441558441558,0.8181818181818182,4.793976696150471,22,否
水生根茎类,销量加权成本,同星期最近8次统计,0.21667777245903835,0.1994897380150845,1.606307797617339,1.4233941353462218,0.6298701298701298,0.7792207792207791,4.793976696150471,22,否
水生根茎类,销量加权成本,指数加权移动平均加周内收缩,0.16656348039467725,0.15407750330159467,1.2347930953869855,1.2005593839788304,0.6818181818181818,0.8636363636363636,4.793976696150471,22,否
水生根茎类,销量加权成本,阻尼趋势,0.18629626979364675,0.1750228210802718,1.3810791362696404,1.139468560972083,0.5324675324675324,0.8376623376623376,4.793976696150471,22,否
水生根茎类,销量加权成本,指数平滑,0.1656515840337822,0.15542332521726349,1.228032890043811,1.1389483945366952,0.7207792207792209,0.8701298701298701,4.793976696150471,22,否
水生根茎类,销量加权成本,滞后稳健回归,0.196882798881895,0.18492062257258335,1.4595607637626988,1.1389483945366952,0.49350649350649345,0.8116883116883117,4.793976696150471,22,否
水生根茎类,固定篮子成本,近7日均值,0.137900282069286,0.09941946668479403,0.6913687124713284,0.18218265807642509,0.6103896103896104,0.8701298701298703,2.1394004984286528,22,否
水生根茎类,固定篮子成本,近14日均值,0.17528843166272273,0.12268273803044703,0.8788157318553225,0.18218265807642509,0.5844155844155844,0.8636363636363636,2.1394004984286528,22,否
水生根茎类,固定篮子成本,近7日中位数,0.1303253721353356,0.09405126850915281,0.6533915912534739,0.18218265807642509,0.5584415584415585,0.8701298701298703,2.139400498428653,22,否
水生根茎类,固定篮子成本,近14日中位数,0.17209217200311241,0.11671584367023381,0.8627911531348921,0.18218265807642509,0.5714285714285713,0.8636363636363636,2.139400498428653,22,否
水生根茎类,固定篮子成本,指数加权移动平均,0.12671163945824726,0.09343645337446312,0.6352739944604605,0.18218265807642509,0.5909090909090909,0.8701298701298703,2.139400498428653,22,否
水生根茎类,固定篮子成本,同星期最近4次统计,0.15204698279850482,0.11133309660258965,0.7622937760180665,0.2996983176215643,0.6103896103896104,0.8116883116883117,2.139400498428653,22,否
水生根茎类,固定篮子成本,同星期最近8次统计,0.1540352832988164,0.11280698983167703,0.7722622020160337,0.2456925390469052,0.6883116883116882,0.8116883116883117,2.139400498428653,22,否
水生根茎类,固定篮子成本,指数加权移动平均加周内收缩,0.12220915144114894,0.08907077831470879,0.612700586367395,0.19917261299507477,0.6818181818181818,0.8506493506493507,2.1394004984286528,22,否
水生根茎类,固定篮子成本,阻尼趋势,0.13062382691018248,0.09399572978390754,0.6548879064917066,0.18562996018305514,0.4220779220779221,0.8506493506493507,2.1394004984286528,22,否
水生根茎类,固定篮子成本,指数平滑,0.13173286459766365,0.09617027940843549,0.6604481123634449,0.18218265807642509,0.5909090909090909,0.8701298701298703,2.1394004984286528,22,否
水生根茎类,固定篮子成本,滞后稳健回归,0.1201065657479108,0.08817823532135144,0.6021591868736339,0.18218265807642509,0.512987012987013,0.8506493506493507,2.1394004984286528,22,是
茄类,销量加权成本,近7日均值,0.13083560286872292,0.14042412340024132,0.6952561544389615,0.34541311151500403,0.5442176870748299,0.9387755102040817,3.3983497919917363,21,否
茄类,销量加权成本,近14日均值,0.15349407556843034,0.1605405658782722,0.8156625442078487,0.34541311151500403,0.43537414965986393,0.9387755102040816,3.3983497919917367,21,否
茄类,销量加权成本,近7日中位数,0.13456755888548963,0.14299818172453058,0.7150876477929226,0.34541311151500403,0.43537414965986393,0.9319727891156463,3.3983497919917363,21,否
茄类,销量加权成本,近14日中位数,0.15665801883891892,0.16204986188662773,0.8324756362322729,0.34541311151500403,0.45578231292517013,0.8979591836734694,3.3983497919917367,21,否
茄类,销量加权成本,指数加权移动平均,0.11237442079330748,0.11910350178807275,0.5971540310511143,0.34541311151500403,0.49659863945578225,0.9591836734693877,3.3983497919917367,21,否
茄类,销量加权成本,同星期最近4次统计,0.16269951747291597,0.1638633114059472,0.8645799642226871,0.44265749611798566,0.5646258503401359,0.8775510204081632,3.3983497919917367,21,否
茄类,销量加权成本,同星期最近8次统计,0.21873043558167365,0.22789779106439748,1.1623264475943924,0.4379958622585483,0.489795918367347,0.7346938775510204,3.3983497919917363,21,否
茄类,销量加权成本,指数加权移动平均加周内收缩,0.14135110225528633,0.14924723674412052,0.7511351774663783,0.3665908369182549,0.4489795918367347,0.9591836734693879,3.3983497919917363,21,否
茄类,销量加权成本,阻尼趋势,0.10309412170148469,0.10515321408637814,0.5478388223682142,0.34411492285669504,0.5782312925170067,0.9659863945578231,3.3983497919917363,21,否
茄类,销量加权成本,指数平滑,0.11627721951975706,0.12339875179290875,0.6178933770288543,0.34541311151500403,0.5306122448979591,0.9523809523809526,3.3983497919917363,21,否
茄类,销量加权成本,滞后稳健回归,0.0998336744984975,0.10056885129114554,0.5305129115733168,0.34541311151500403,0.5034013605442178,0.9727891156462586,3.3983497919917367,21,否
茄类,固定篮子成本,近7日均值,0.11663348430718061,0.1242879592727235,0.6136061633412356,0.19679478338699538,0.45578231292517013,0.979591836734694,3.301092440003348,21,否
茄类,固定篮子成本,近14日均值,0.13786581895662586,0.1448100689508067,0.7253090030567185,0.19679478338699538,0.4625850340136055,0.9591836734693879,3.3010924400033472,21,否
茄类,固定篮子成本,近7日中位数,0.11897688768324295,0.12779132022599643,0.6259347563116677,0.19679478338699538,0.3537414965986394,0.9659863945578231,3.301092440003348,21,否
茄类,固定篮子成本,近14日中位数,0.1407744018115693,0.14804610030665966,0.7406109926781677,0.19679478338699538,0.4761904761904763,0.9455782312925171,3.3010924400033472,21,否
茄类,固定篮子成本,指数加权移动平均,0.10086201373043592,0.10566324114365494,0.5306328078907745,0.19679478338699538,0.44217687074829937,1.0,3.3010924400033472,21,否
