品类,成本口径,成本预测方法,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,泄漏检查,加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度
花叶类,销量加权成本,近14日均值,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,通过,0.0846986465706978,0.3776580370946627,0.2201708836981456,0.5714285714285714,0.8571428571428571,1.476587396282321
花叶类,销量加权成本,近14日均值,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,2021-12-31,通过,0.09133118246524531,0.21016063772721655,0.18173613565139016,1.0,1.0,3.112391141692489
花叶类,销量加权成本,近14日均值,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,2022-03-31,通过,0.1709274543874188,0.6263543945735888,0.2237523330472885,0.5714285714285714,1.0,2.4237621865875134
花叶类,销量加权成本,近14日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,通过,0.07583454395442141,0.22575966361721925,0.1898156077453026,0.8571428571428571,1.0,2.0667303022674695
花叶类,销量加权成本,近14日均值,八折主要回测,2022-09-30,2022-10-01,2022-10-07,819,7,2022-09-30,通过,0.1533675479528569,0.33211522038835184,0.25845557509103617,0.8571428571428571,1.0,1.6341312454562757
花叶类,销量加权成本,近14日均值,八折主要回测,2022-12-31,2023-01-01,2023-01-07,905,7,2022-12-31,通过,0.17762523794132623,0.46748420351727743,0.3793437819605762,0.14285714285714285,0.8571428571428571,1.8320350441819255
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,980,7,2023-03-17,通过,0.08737524495441583,0.24226135788053016,0.19036359713544782,0.5714285714285714,1.0,2.2320444232158354
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,987,7,2023-03-24,通过,0.16909491788701725,0.5503650923618003,0.3207136695321012,0.42857142857142855,1.0,2.2574112606570185
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,994,7,2023-03-31,通过,0.08295604169961822,0.24868034859516847,0.2602504314672002,0.5714285714285714,1.0,1.7233678123480973
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1001,7,2023-04-07,通过,0.09800076022352604,0.28910699682933566,0.32183040663736934,1.0,1.0,1.1277597776013302
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1008,7,2023-04-14,通过,0.05139019386804755,0.15736937191942577,0.27479837638199983,1.0,1.0,1.0813127436198346
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1015,7,2023-04-21,通过,0.042035686548412166,0.12487333614417644,0.16312787198235554,0.7142857142857143,1.0,1.0400075702956055
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1022,7,2023-04-28,通过,0.1759574205475726,0.6441006784726514,0.1890532499334007,1.0,0.14285714285714285,0.9979382624723661
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1029,7,2023-05-05,通过,0.07510784420701244,0.26796777341576833,0.26923581957548426,1.0,1.0,1.2473623965755027
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1036,7,2023-05-12,通过,0.06394142026591866,0.21748809105398578,0.11816181484064099,0.14285714285714285,1.0,1.3279960291618578
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1043,7,2023-05-19,通过,0.10395421780900875,0.32812561288361036,0.2008738058893059,0.42857142857142855,1.0,1.1898354203938908
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1050,7,2023-05-26,通过,0.04303577349940529,0.14745605973826864,0.07777528895116943,0.0,1.0,1.1208670214055712
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1057,7,2023-06-02,通过,0.06423305665612616,0.22592890357716014,0.05910632381045233,0.14285714285714285,1.0,1.107090646906527
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1064,7,2023-06-09,通过,0.041062485785958655,0.14459725026995487,0.13994239001443018,0.42857142857142855,1.0,1.005929330528292
花叶类,销量加权成本,近14日均值,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1071,7,2023-06-16,通过,0.10699464898811592,0.34015793840878494,0.149622701800565,0.14285714285714285,0.7142857142857143,0.91889961563699
花叶类,销量加权成本,近7日中位数,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,通过,0.09678760904396182,0.4277981580534321,0.2944346827205866,0.42857142857142855,1.0,1.7767867992810424
花叶类,销量加权成本,近7日中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,通过,0.022316560458017005,0.08026789633689058,0.07855533571947786,0.8571428571428571,1.0,1.0931504375332024
花叶类,销量加权成本,近7日中位数,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,通过,0.04083562029307619,0.18207965331008566,0.2201708836981456,0.5714285714285714,1.0,1.476587396282321
花叶类,销量加权成本,近7日中位数,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,2021-12-31,通过,0.07367783021308254,0.16953880773230193,0.18173613565139016,1.0,1.0,3.112391141692489
花叶类,销量加权成本,近7日中位数,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,2022-03-31,通过,0.10484647452916261,0.384204224606545,0.2237523330472885,0.5714285714285714,1.0,2.4237621865875134
花叶类,销量加权成本,近7日中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,通过,0.044342950032503256,0.132009094551289,0.1898156077453026,0.8571428571428571,1.0,2.0667303022674695
花叶类,销量加权成本,近7日中位数,八折主要回测,2022-09-30,2022-10-01,2022-10-07,819,7,2022-09-30,通过,0.06441956357700247,0.13949963887584654,0.25845557509103617,0.8571428571428571,1.0,1.6341312454562757
花叶类,销量加权成本,近7日中位数,八折主要回测,2022-12-31,2023-01-01,2023-01-07,905,7,2022-12-31,通过,0.12511692946146735,0.32928985088899426,0.3793437819605762,0.0,0.8571428571428571,1.8320350441819255
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,980,7,2023-03-17,通过,0.0885522696134594,0.24552484048716008,0.19036359713544782,0.5714285714285714,1.0,2.2320444232158354
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,987,7,2023-03-24,通过,0.18932869699096477,0.6162213927434177,0.3207136695321012,0.42857142857142855,1.0,2.2574112606570185
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,994,7,2023-03-31,通过,0.13920203186844401,0.41729100257154295,0.2602504314672002,0.5714285714285714,1.0,1.7233678123480975
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1001,7,2023-04-07,通过,0.074916427448486,0.22100709528593201,0.32183040663736934,1.0,1.0,1.1277597776013302
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1008,7,2023-04-14,通过,0.061260201582207616,0.18759375517054636,0.27479837638199983,1.0,1.0,1.0813127436198346
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1015,7,2023-04-21,通过,0.047321107508402606,0.14057447492396621,0.16312787198235554,0.0,1.0,1.0400075702956055
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1022,7,2023-04-28,通过,0.19949012565045887,0.7302432877237789,0.1890532499334007,0.0,0.14285714285714285,0.9979382624723661
