品类,成本口径,成本预测方法,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,泄漏检查,加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,2023-03-31,通过,0.037642049392780486,0.11953274118589777,0.07890226661749995,0.8571428571428571,1.0,1.718667380591842
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,2023-04-07,通过,0.06558263703447231,0.2075280366243525,0.2383329188569916,0.8571428571428571,1.0,1.1448939385805001
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,2023-04-14,通过,0.027653725001967968,0.08542799143613992,0.04649322798316217,1.0,1.0,1.1216729540169155
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,2023-04-21,通过,0.0238906427783955,0.07307373404803329,0.0905506675029389,1.0,1.0,0.9810666546827758
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1021,7,2023-04-28,通过,0.13902352964909678,0.49635499045665693,0.1736447570218156,1.0,0.2857142857142857,0.7400301951145405
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1028,7,2023-05-05,通过,0.036766440629747744,0.12210303562580949,0.15561816690468766,1.0,1.0,0.8765092309203126
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1035,7,2023-05-12,通过,0.020744044901107914,0.07112244330649117,0.05101350742250391,0.42857142857142855,1.0,0.87771956995691
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1042,7,2023-05-19,通过,0.07386827475914062,0.2321432756067028,0.08959261103248628,0.0,0.8571428571428571,0.7000905797352823
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1049,7,2023-05-26,通过,0.03655020202177298,0.12464585217806816,0.02218961645097776,0.0,1.0,0.6883916360935016
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1056,7,2023-06-02,通过,0.09380622059146962,0.3391689483724161,0.031539074362247975,0.0,0.7142857142857143,0.6929696181773579
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1063,7,2023-06-09,通过,0.04315858572252641,0.15791941104893933,0.07616053155477702,0.42857142857142855,1.0,0.7514122013859064
花叶类,固定篮子成本,近14日均值,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1070,7,2023-06-16,通过,0.07219594687112951,0.24491916405998682,0.16515033920943237,0.14285714285714285,0.8571428571428571,0.7658269969232459
花叶类,固定篮子成本,近7日中位数,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,2021-03-31,通过,0.04583107225984149,0.15534135214999845,0.08298117189090252,1.0,1.0,1.4247956947879847
花叶类,固定篮子成本,近7日中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,通过,0.016581451363049327,0.051148745280857257,0.04545420395184929,0.8571428571428571,1.0,0.8231931327579591
花叶类,固定篮子成本,近7日中位数,八折主要回测,2021-09-30,2021-10-01,2021-10-07,454,7,2021-09-30,通过,0.046432104465598874,0.2096049140187537,0.1862684409897192,0.5714285714285714,1.0,1.609650709150042
花叶类,固定篮子成本,近7日中位数,八折主要回测,2021-12-31,2022-01-01,2022-01-07,546,7,2021-12-31,通过,0.04038530103499049,0.13623622719802844,0.043171333420207514,1.0,1.0,2.85590483431309
花叶类,固定篮子成本,近7日中位数,八折主要回测,2022-03-31,2022-04-01,2022-04-07,635,7,2022-03-31,通过,0.07738592057357693,0.33020685886926515,0.21770085883718027,0.8571428571428571,0.8571428571428571,1.816014165131607
花叶类,固定篮子成本,近7日中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,2022-06-30,通过,0.017328344465611944,0.06004354025857449,0.09431753186377152,0.0,1.0,1.1461618894726973
花叶类,固定篮子成本,近7日中位数,八折主要回测,2022-09-30,2022-10-01,2022-10-07,818,7,2022-09-30,通过,0.13627949505926842,0.31147210630436895,0.18455065832052706,1.0,1.0,1.8920448050632852
花叶类,固定篮子成本,近7日中位数,八折主要回测,2022-12-31,2023-01-01,2023-01-07,904,7,2022-12-31,通过,0.04168123884790558,0.11341412970931199,0.22181272692942158,0.0,1.0,2.6206803565389554
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,979,7,2023-03-17,通过,0.10315964833081535,0.3070172538955031,0.23424221927451652,0.8571428571428571,1.0,1.8976948923587444
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,986,7,2023-03-24,通过,0.10757125295370124,0.3661956471500688,0.11917301388831714,0.14285714285714285,1.0,1.9758296957525165
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,2023-03-31,通过,0.07600690699052912,0.2413607677636709,0.07890226661749995,0.14285714285714285,1.0,1.7186673805918422
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,2023-04-07,通过,0.04115551050037385,0.130231455711763,0.2383329188569916,0.8571428571428571,1.0,1.1448939385805001
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,2023-04-14,通过,0.021477478648775073,0.06634830793850968,0.04649322798316217,1.0,1.0,1.1216729540169164
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,2023-04-21,通过,0.01742667579080959,0.05330255380280079,0.0905506675029389,1.0,1.0,0.9810666546827758
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1021,7,2023-04-28,通过,0.14320820291615538,0.5112955078264704,0.1736447570218156,1.0,0.2857142857142857,0.7400301951145405
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1028,7,2023-05-05,通过,0.07733031763056553,0.2568175316095288,0.15561816690468766,1.0,0.8571428571428571,0.8765092309203126
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1035,7,2023-05-12,通过,0.03380707219767077,0.11590996776182617,0.05101350742250391,0.5714285714285714,1.0,0.87771956995691
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1042,7,2023-05-19,通过,0.08723114418773734,0.27413830379402687,0.08959261103248628,0.0,0.5714285714285714,0.7000905797352823
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1049,7,2023-05-26,通过,0.06757414119144768,0.23044568697572737,0.02218961645097776,0.0,1.0,0.6883916360935016
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1056,7,2023-06-02,通过,0.054456435933178136,0.19689453419089636,0.031539074362247975,0.0,1.0,0.6929696181773579
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1063,7,2023-06-09,通过,0.02894637827369659,0.1059162373477884,0.07616053155477702,0.42857142857142855,1.0,0.7514122013859064
花叶类,固定篮子成本,近7日中位数,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1070,7,2023-06-16,通过,0.0915712608407075,0.3106484176605995,0.16515033920943237,0.14285714285714285,0.7142857142857143,0.7658269969232459
花叶类,固定篮子成本,近14日中位数,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,2021-03-31,通过,0.04228765357504371,0.14333117166350856,0.08298117189090252,1.0,1.0,1.424795694787985
花叶类,固定篮子成本,近14日中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,通过,0.018922597018602955,0.058370469132373995,0.04545420395184929,0.8571428571428571,1.0,0.8231931327579591
花叶类,固定篮子成本,近14日中位数,八折主要回测,2021-09-30,2021-10-01,2021-10-07,454,7,2021-09-30,通过,0.05103763495274087,0.2303953096486429,0.1862684409897192,0.5714285714285714,1.0,1.609650709150042
花叶类,固定篮子成本,近14日中位数,八折主要回测,2021-12-31,2022-01-01,2022-01-07,546,7,2021-12-31,通过,0.08237599689360425,0.27788811128924645,0.043171333420207514,1.0,1.0,2.8559048343130904
花叶类,固定篮子成本,近14日中位数,八折主要回测,2022-03-31,2022-04-01,2022-04-07,635,7,2022-03-31,通过,0.08337730334081055,0.3557721770716976,0.21770085883718027,0.8571428571428571,0.8571428571428571,1.816014165131607
花叶类,固定篮子成本,近14日中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,2022-06-30,通过,0.08190287238606606,0.28379736016703067,0.09431753186377152,0.2857142857142857,1.0,1.1461618894726975
花叶类,固定篮子成本,近14日中位数,八折主要回测,2022-09-30,2022-10-01,2022-10-07,818,7,2022-09-30,通过,0.20949715244750347,0.47881392067979733,0.18455065832052706,0.0,1.0,1.8920448050632852
花叶类,固定篮子成本,近14日中位数,八折主要回测,2022-12-31,2023-01-01,2023-01-07,904,7,2022-12-31,通过,0.05313186299374599,0.1445711348277954,0.22181272692942158,0.7142857142857143,1.0,2.620680356538955
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,979,7,2023-03-17,通过,0.09817309504183269,0.2921765877827463,0.23424221927451652,0.8571428571428571,1.0,1.8976948923587447
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,986,7,2023-03-24,通过,0.14054991731383695,0.4784621031585584,0.11917301388831714,0.14285714285714285,1.0,1.9758296957525174
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,2023-03-31,通过,0.05231147225882724,0.16611565457875793,0.07890226661749995,0.8571428571428571,1.0,1.718667380591842
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,2023-04-07,通过,0.07757990713170013,0.24549189444881053,0.2383329188569916,0.8571428571428571,1.0,1.1448939385805001
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,2023-04-14,通过,0.023037779724734114,0.07116839589936642,0.04649322798316217,1.0,1.0,1.1216729540169164
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,2023-04-21,通过,0.02260027451184531,0.06912691568870562,0.0905506675029389,1.0,1.0,0.9810666546827758
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1021,7,2023-04-28,通过,0.13997252944876803,0.4997431995439828,0.1736447570218156,1.0,0.2857142857142857,0.7400301951145405
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1028,7,2023-05-05,通过,0.041747361378918046,0.13864490188395337,0.15561816690468766,1.0,1.0,0.8765092309203126
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1035,7,2023-05-12,通过,0.02003688708361469,0.06869790209366736,0.05101350742250391,0.5714285714285714,1.0,0.87771956995691
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1042,7,2023-05-19,通过,0.0750557801277103,0.23587520771096784,0.08959261103248628,0.0,0.8571428571428571,0.7000905797352823
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1049,7,2023-05-26,通过,0.029710848279236604,0.10132184770121537,0.02218961645097776,1.0,1.0,0.6883916360935016
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1056,7,2023-06-02,通过,0.08041616787399776,0.2907554202481509,0.031539074362247975,0.0,0.8571428571428571,0.6929696181773579
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1063,7,2023-06-09,通过,0.044968052826531706,0.16454034115109975,0.07616053155477702,0.42857142857142855,1.0,0.7514122013859064
花叶类,固定篮子成本,近14日中位数,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1070,7,2023-06-16,通过,0.06691119188416997,0.22699104164089334,0.16515033920943237,0.14285714285714285,0.8571428571428571,0.765826996923245
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,2021-03-31,通过,0.049920285593799164,0.16920146707214898,0.08298117189090252,1.0,1.0,1.424795694787985
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,通过,0.01627590050861495,0.05020621362415082,0.04545420395184929,0.8571428571428571,1.0,0.8231931327579591
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2021-09-30,2021-10-01,2021-10-07,454,7,2021-09-30,通过,0.030224028985467315,0.13643803290227385,0.1862684409897192,0.5714285714285714,1.0,1.609650709150042
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2021-12-31,2022-01-01,2022-01-07,546,7,2021-12-31,通过,0.01239767971102128,0.041822471705130884,0.043171333420207514,1.0,1.0,2.8559048343130904
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2022-03-31,2022-04-01,2022-04-07,635,7,2022-03-31,通过,0.07198123104910133,0.30714496934449187,0.21770085883718027,0.8571428571428571,1.0,1.816014165131607
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,2022-06-30,通过,0.02124497708825307,0.07361485914724789,0.09431753186377152,0.2857142857142857,1.0,1.1461618894726975
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2022-09-30,2022-10-01,2022-10-07,818,7,2022-09-30,通过,0.16972306509205687,0.38790869125003524,0.18455065832052706,1.0,1.0,1.8920448050632852
花叶类,固定篮子成本,指数加权移动平均,八折主要回测,2022-12-31,2023-01-01,2023-01-07,904,7,2022-12-31,通过,0.040519996169864424,0.11025440290292014,0.22181272692942158,0.7142857142857143,1.0,2.6206803565389545
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,979,7,2023-03-17,通过,0.10789009811128096,0.32109572086188676,0.23424221927451652,0.8571428571428571,1.0,1.8976948923587444
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,986,7,2023-03-24,通过,0.06766237656373789,0.2303372610536941,0.11917301388831714,0.14285714285714285,1.0,1.9758296957525179
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,2023-03-31,通过,0.07065760562521473,0.2243740025386051,0.07890226661749995,0.14285714285714285,1.0,1.7186673805918409
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,2023-04-07,通过,0.043048178411208816,0.1362205661421813,0.2383329188569916,0.8571428571428571,1.0,1.1448939385805001
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,2023-04-14,通过,0.022376806086733647,0.06912651364724308,0.04649322798316217,1.0,1.0,1.1216729540169164
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,2023-04-21,通过,0.024848632753937623,0.07600391492858925,0.0905506675029389,1.0,1.0,0.9810666546827758
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1021,7,2023-04-28,通过,0.14545413636275256,0.5193141524204165,0.1736447570218156,1.0,0.2857142857142857,0.7400301951145405
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1028,7,2023-05-05,通过,0.08529142087879238,0.2832567206332409,0.15561816690468766,1.0,0.8571428571428571,0.8765092309203126
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1035,7,2023-05-12,通过,0.02625580578010905,0.09001991014598675,0.05101350742250391,0.5714285714285714,1.0,0.8777195699569091
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1042,7,2023-05-19,通过,0.07293974601227093,0.22922522038616114,0.08959261103248628,0.0,0.8571428571428571,0.7000905797352823
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1049,7,2023-05-26,通过,0.06548749731598083,0.22332967968540446,0.02218961645097776,0.0,1.0,0.6883916360935016
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1056,7,2023-06-02,通过,0.0564635294687245,0.20415144955795933,0.031539074362247975,0.0,1.0,0.6929696181773579
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1063,7,2023-06-09,通过,0.028736420455015725,0.10514799124991184,0.07616053155477702,0.42857142857142855,1.0,0.7514122013859064
花叶类,固定篮子成本,指数加权移动平均,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1070,7,2023-06-16,通过,0.05886295997001633,0.19968803755267261,0.16515033920943237,0.14285714285714285,0.8571428571428571,0.7658269969232459
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,2021-03-31,通过,0.06562240228431575,0.22242274072014068,0.1150839341498997,1.0,1.0,1.424795694787985
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,通过,0.06126473910303483,0.18898312737944986,0.055356846663393876,0.8571428571428571,1.0,0.8231931327579591
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2021-09-30,2021-10-01,2021-10-07,454,7,2021-09-30,通过,0.056901945776600536,0.25686812151365424,0.3126323878375648,0.5714285714285714,1.0,1.609650709150042
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2021-12-31,2022-01-01,2022-01-07,546,7,2021-12-31,通过,0.212775224617476,0.7177783277629299,0.15719831232531808,1.0,1.0,2.8559048343130904
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2022-03-31,2022-04-01,2022-04-07,635,7,2022-03-31,通过,0.09281854872969601,0.3960581097138465,0.3025790318029142,0.7142857142857143,0.8571428571428571,1.816014165131607
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,2022-06-30,通过,0.10578428682803794,0.3665476005217201,0.1059182405455934,0.2857142857142857,1.0,1.1461618894726975
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2022-09-30,2022-10-01,2022-10-07,818,7,2022-09-30,通过,0.42911767645703813,0.9807652022806657,0.4055041362384477,0.0,0.42857142857142855,1.8920448050632845
花叶类,固定篮子成本,同星期最近4次统计,八折主要回测,2022-12-31,2023-01-01,2023-01-07,904,7,2022-12-31,通过,0.22048460860906433,0.599935863013626,0.29505694345557226,0.7142857142857143,1.0,2.620680356538955
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,979,7,2023-03-17,通过,0.1422869961439925,0.42346560431342006,0.21927584343654968,0.8571428571428571,1.0,1.8976948923587444
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,986,7,2023-03-24,通过,0.07381726459914931,0.25128982175533227,0.17136406432401005,0.2857142857142857,1.0,1.9758296957525179
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,2023-03-31,通过,0.0704104049799334,0.22358901417505792,0.1697076610410541,0.7142857142857143,1.0,1.7186673805918418
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,2023-04-07,通过,0.03997439741255388,0.12649397135263657,0.19671579920497217,0.8571428571428571,1.0,1.1448939385805001
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,2023-04-14,通过,0.045630196751512364,0.14096097567471189,0.16685733196870914,1.0,1.0,1.121672954016916
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,2023-04-21,通过,0.04279691662753829,0.1309018988197612,0.1485816380502288,0.7142857142857143,1.0,0.9810666546827758
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1021,7,2023-04-28,通过,0.13292342182794975,0.4745758069832377,0.17605419418179857,0.7142857142857143,0.42857142857142855,0.7400301951145405
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1028,7,2023-05-05,通过,0.06558254790407797,0.2178026495358882,0.18301277384650402,1.0,0.8571428571428571,0.8765092309203126
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1035,7,2023-05-12,通过,0.06458230425506589,0.22142505450989297,0.07756346122211744,0.5714285714285714,1.0,0.8777195699569094
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1042,7,2023-05-19,通过,0.07215778349216954,0.22676777378395055,0.09680842240035514,0.2857142857142857,1.0,0.7000905797352823
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1049,7,2023-05-26,通过,0.025165861571095235,0.08582224140528297,0.09732221991143697,0.8571428571428571,1.0,0.6883916360935016
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1056,7,2023-06-02,通过,0.07398213399105255,0.26749230942126123,0.08255498320788468,0.14285714285714285,0.8571428571428571,0.6929696181773579
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1063,7,2023-06-09,通过,0.06565684212507093,0.2402416498627899,0.08280926541322679,0.42857142857142855,1.0,0.7514122013859064
花叶类,固定篮子成本,同星期最近4次统计,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1070,7,2023-06-16,通过,0.042990518958858796,0.14584200945107684,0.16160391379660122,0.8571428571428571,1.0,0.7658269969232451
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,2021-03-31,通过,0.03593453741090788,0.12179770961165902,0.0938170069953909,1.0,1.0,1.424795694787985
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,通过,0.1058522453740774,0.3265220527143176,0.07070541002477104,0.8571428571428571,1.0,0.8231931327579591
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2021-09-30,2021-10-01,2021-10-07,454,7,2021-09-30,通过,0.03472831961690584,0.15677140915959256,0.22705373063007275,0.42857142857142855,1.0,1.609650709150042
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2021-12-31,2022-01-01,2022-01-07,546,7,2021-12-31,通过,0.5240696524278667,1.7679024398974987,0.1674076071947733,1.0,0.0,2.8559048343130904
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2022-03-31,2022-04-01,2022-04-07,635,7,2022-03-31,通过,0.06288771472806125,0.2683428017384078,0.27762524132319827,0.8571428571428571,0.8571428571428571,1.816014165131607
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,2022-06-30,通过,0.02154220121101276,0.07464475491231402,0.09228025611141644,0.2857142857142857,1.0,1.1461618894726975
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2022-09-30,2022-10-01,2022-10-07,818,7,2022-09-30,通过,0.3016615033679098,0.6894591428012129,0.36117002248833135,0.0,0.8571428571428571,1.892044805063285
花叶类,固定篮子成本,同星期最近8次统计,八折主要回测,2022-12-31,2023-01-01,2023-01-07,904,7,2022-12-31,通过,0.2752362214768775,0.7489143169948761,0.2457885324646347,0.7142857142857143,1.0,2.620680356538955
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,979,7,2023-03-17,通过,0.1911950941744124,0.5690228080603641,0.14028794840755943,0.8571428571428571,0.8571428571428571,1.8976948923587444
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,986,7,2023-03-24,通过,0.04595670010004222,0.15644647684135343,0.24412310138999013,0.8571428571428571,1.0,1.9758296957525177
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,2023-03-31,通过,0.07787624116329611,0.24729685895604284,0.18291028509190052,0.2857142857142857,1.0,1.7186673805918413
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,2023-04-07,通过,0.06206007904829515,0.19638134329479748,0.19163758909135944,0.8571428571428571,1.0,1.1448939385805001
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,2023-04-14,通过,0.05534659534749224,0.1709769108150382,0.10796731769245531,1.0,1.0,1.1216729540169157
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,2023-04-21,通过,0.034663618073306965,0.10602477429037803,0.15109968480718675,0.8571428571428571,1.0,0.9810666546827758
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1021,7,2023-04-28,通过,0.12362123458921756,0.4413642558899732,0.21964043537072078,1.0,0.2857142857142857,0.7400301951145405
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1028,7,2023-05-05,通过,0.06506955840238622,0.21609898787248388,0.17575931758244687,1.0,0.8571428571428571,0.8765092309203126
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1035,7,2023-05-12,通过,0.06639727980850994,0.2276478281549499,0.14094881573229437,0.5714285714285714,1.0,0.8777195699569093
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1042,7,2023-05-19,通过,0.041408719964212554,0.13013375393586632,0.08927802241186922,0.7142857142857143,1.0,0.7000905797352823
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1049,7,2023-05-26,通过,0.05858932059434875,0.19980507329798852,0.08611609871592359,0.0,1.0,0.6883916360935016
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1056,7,2023-06-02,通过,0.10131032561054262,0.36630104464223007,0.1038193761091406,0.0,0.2857142857142857,0.6929696181773579
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1063,7,2023-06-09,通过,0.08643597066902876,0.3162735143652289,0.09197735678990678,0.42857142857142855,0.5714285714285714,0.7514122013859064
花叶类,固定篮子成本,同星期最近8次统计,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1070,7,2023-06-16,通过,0.030412782707897622,0.10317301234170755,0.14714943394273838,0.8571428571428571,1.0,0.7658269969232452
花叶类,固定篮子成本,指数加权移动平均加周内收缩,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,2021-03-31,通过,0.04213526970783667,0.14281467674400108,0.0823147579819911,1.0,1.0,1.424795694787985
