口径,品类,需求模型,池化加权绝对百分比误差,折均加权绝对百分比误差,折中位加权绝对百分比误差,折间标准差,折间标准误,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度,回测折数
正常销售,花叶类,同星期最近4次均值,0.22812358688333587,0.21264089192109992,0.21649007399803832,0.09641535039634531,0.020555821772178007,36.25986639799808,44.04413464673686,0.8303507268400311,8.170400160090407,18.12993319899904,12.306242715248821,0.8766233766233765,139.74458530895402,0.9350649350649349,185.8901174969308,22
正常销售,花叶类,同星期最近8次中位数,0.2128141360962446,0.20156962355602434,0.19696905332541725,0.08516514865759325,0.018157270702330936,33.826454545454546,40.89293083654454,0.7738583983524858,8.191082041019836,16.913227272727273,10.34950593627084,0.8701298701298701,142.65236355097275,0.961038961038961,190.17923736619295,22
正常销售,花叶类,近7日均值,0.2919436257176408,0.30687076812197783,0.24721723424672837,0.21786405901135616,0.046448773449362116,46.403955894672514,54.64561422163183,1.0657268657384251,8.041092152055217,23.201977947336257,14.321380281450068,0.8961038961038962,174.32929190776994,0.9350649350649349,214.2809943683628,22
正常销售,花叶类,近14日均值,0.29194362571764076,0.3068707681219778,0.2472172342467283,0.2178640590113561,0.04644877344936211,46.40395589467252,54.64561422163183,1.065726865738425,8.041092152055217,23.20197794733626,14.321380281450068,0.8961038961038962,174.32929190776994,0.9350649350649349,214.2809943683628,22
正常销售,花叶类,星期加月份对数回归,0.2695652638321122,0.29208093529657236,0.1952058148512809,0.3297696354811154,0.07030712251690233,42.84695232804751,51.10803628598228,1.0115452473405906,9.70603092635856,21.423476164023754,13.623806088176366,0.8441558441558441,146.03825275005389,0.8896103896103895,198.68831284880943,22
正常销售,花叶类,星期加月份及趋势对数回归,0.2660099677116252,0.24697560449294853,0.20007438023749408,0.15044239146098462,0.03207442562973309,42.28184389671239,50.01301588520646,0.9947390409917575,8.618182035869117,21.140921948356194,17.143904300000223,0.7597402597402598,118.24290852272829,0.8181818181818182,162.8747585285338,22
正常销售,花菜类,同星期最近4次均值,0.31224123431969736,0.31683097994887627,0.289317586163081,0.1539103061043778,0.03281378751596463,9.017545095017201,11.030154986908878,0.5391896148391627,1.9534766832869834,4.508772547508601,2.7700609950662938,0.8116883116883117,34.85676552685134,0.9025974025974026,47.024465985761,22
正常销售,花菜类,同星期最近8次中位数,0.3298117898725336,0.34516666463488216,0.28873996273091795,0.19422317711646347,0.04140852049409262,9.524983766233767,11.514006315250223,0.5681476372667243,1.953970741545843,4.762491883116883,3.4488493169366516,0.8831168831168832,39.36301398456549,0.9155844155844156,53.581239976724696,22
正常销售,花菜类,近7日均值,0.4326811093396706,0.5237631485599041,0.41863089178616814,0.3791131595717742,0.08082719720054111,12.495855724288026,14.062915495780743,0.7534825440658306,1.8808518243377506,6.247927862144013,3.9243969792924362,0.9155844155844157,53.478454460925654,0.9675324675324675,70.38957940876851,22
正常销售,花菜类,近14日均值,0.4326811093396706,0.5237631485599041,0.4186308917861681,0.3791131595717743,0.08082719720054113,12.495855724288026,14.062915495780743,0.7534825440658306,1.8808518243377506,6.247927862144013,3.9243969792924362,0.9155844155844157,53.47845446092565,0.9675324675324675,70.38957940876851,22
正常销售,花菜类,星期加月份对数回归,0.4995311356713783,0.6319030334818867,0.3994293900482022,0.7452531197515756,0.15888849899728943,14.42648839156746,16.400314375251803,0.8667338755711606,2.155322480751217,7.21324419578373,4.629597515703394,0.8506493506493509,56.55288459982162,0.961038961038961,78.8239208147896,22
正常销售,花菜类,星期加月份及趋势对数回归,0.4456164657264846,0.4578225730245876,0.44085594463394995,0.2302936187546422,0.04909876449061555,12.869429572701598,14.631952326962466,0.7735366244672335,1.978474557045664,6.434714786350799,4.638592135310877,0.7467532467532467,36.8036851502722,0.8246753246753247,51.912845174357514,22
正常销售,水生根茎类,同星期最近4次均值,0.38316226221950267,0.33386915300642,0.32437531189970525,0.13508695995920345,0.028800636633603837,10.085156678346861,11.989386331005603,0.6401125232239276,2.184836524668262,5.0425783391734305,3.514770556782143,0.9090909090909091,42.537680836110546,0.9415584415584416,54.71258699843092,22
正常销售,水生根茎类,同星期最近8次中位数,0.40046235133816926,0.41316496424022037,0.40733887711281863,0.16153412300427925,0.03443919074038763,10.54050974025974,12.623825782858255,0.659763593561174,2.0901825330797505,5.27025487012987,4.681174815436619,0.9220779220779222,57.12626651936478,0.948051948051948,74.82652225083571,22
正常销售,水生根茎类,近7日均值,0.635884884182578,0.7071781159368947,0.6197587195586686,0.2886278379331052,0.06153566180750906,16.73703106674927,18.608653201223863,1.0344632353322718,2.0662966232146966,8.368515533374635,5.663551889163102,0.8961038961038962,62.52614981220361,0.9545454545454546,82.06777624240578,22
正常销售,水生根茎类,近14日均值,0.6358848841825779,0.7071781159368947,0.6197587195586683,0.2886278379331052,0.06153566180750906,16.73703106674927,18.60865320122386,1.0344632353322718,2.0662966232146966,8.368515533374635,5.6635518891631,0.8961038961038962,62.52614981220361,0.9545454545454546,82.06777624240578,22
正常销售,水生根茎类,星期加月份对数回归,0.4869620969099138,0.4217699191598957,0.3428737386360434,0.2940079096928838,0.06268269696073844,12.817256624660457,14.677285172521577,0.7987785950592794,2.2021118821655907,6.408628312330229,4.591392089486394,0.8246753246753247,41.304477359672774,0.8701298701298701,58.00702591863344,22
正常销售,水生根茎类,星期加月份及趋势对数回归,0.5876466243646713,0.5258069022269694,0.3571648867945124,0.5909198812157234,0.12598454198396444,15.467359034497576,17.067108775380564,0.9465045403689011,2.9404536456271844,7.733679517248788,5.4462765620264415,0.7922077922077921,47.20618428424189,0.8636363636363636,62.52241643777725,22
正常销售,茄类,同星期最近4次均值,0.31667588504594735,0.31861988244792094,0.30929887724117683,0.11650225661959748,0.025422876647260742,6.965415347048896,8.329371173067456,0.8774364738989059,1.4716944999365804,3.482707673524448,1.7349131912390778,0.8367346938775511,25.323870852523154,0.9251700680272108,33.20205401592396,21
正常销售,茄类,同星期最近8次中位数,0.2927384500531287,0.29453422405188856,0.2858406705045716,0.11507892366569317,0.02511227993295638,6.43890169400022,7.828470110910339,0.8115988821474056,1.430407488960988,3.21945084700011,1.7076856821057658,0.8843537414965987,26.94394514090826,0.9523809523809523,35.03454139514228,21
正常销售,茄类,近7日均值,0.36055601179112223,0.3870994789697394,0.32284733477193434,0.2266485614085425,0.04945877089559491,7.930576645064829,9.873858769522252,1.0010824370053135,1.5053428647344074,3.9652883225324147,2.1465090834431955,0.8299319727891158,28.581884836507367,0.9523809523809523,39.68738525164609,21
正常销售,茄类,近14日均值,0.36055601179112223,0.3870994789697394,0.32284733477193434,0.22664856140854245,0.049458770895594896,7.930576645064829,9.873858769522252,1.001082437005314,1.5053428647344076,3.9652883225324147,2.1465090834431955,0.8299319727891158,28.581884836507367,0.9523809523809523,39.68738525164609,21
正常销售,茄类,星期加月份对数回归,0.31648715943505773,0.3655048035882113,0.2740552416342073,0.27380913307725935,0.05975005134746561,6.961264250206516,7.954138816910173,0.8756934499886375,1.1841940360906733,3.480632125103258,2.0891069218851515,0.8299319727891156,27.44140836825412,0.9115646258503401,36.434094472079366,21
正常销售,茄类,星期加月份及趋势对数回归,0.3191903684459155,0.3121799637083865,0.2808259480824458,0.1333294088390039,0.029094862303259507,7.020722435750948,8.475942080383104,0.8862005538929475,1.2618285350792806,3.510361217875474,2.2536387906095086,0.7210884353741497,16.644391018533803,0.836734693877551,23.128342941499653,21
正常销售,辣椒类,同星期最近4次均值,0.2433819786646531,0.23928048616435316,0.23370281289501205,0.10583055342474479,0.02256314980246629,21.134734725572955,25.178432684732574,0.8686898414475455,4.558546394701812,10.567367362786477,7.091467749105811,0.8636363636363636,92.19505782077421,0.9350649350649352,127.67374825487568,22
正常销售,辣椒类,同星期最近8次中位数,0.2331265336863629,0.2428425597298055,0.21310526418469422,0.12129983633611265,0.02586121200067752,20.24417532467533,24.31391807131377,0.8323929860972332,3.9833821784625187,10.122087662337664,9.252037843058345,0.8571428571428572,112.50604429860851,0.922077922077922,155.90312987541716,22
正常销售,辣椒类,近7日均值,0.3300183913014523,0.30609163127980216,0.2714482415108914,0.10963062760863378,0.023373328340675882,28.65804277286657,36.29671540691929,1.1476908387708438,5.331515890481525,14.329021386433284,7.919929426659483,0.8246753246753248,86.22698226695321,0.9155844155844156,119.20153175801035,22
正常销售,辣椒类,近14日均值,0.33001839130145233,0.30609163127980216,0.27144824151089153,0.10963062760863376,0.02337332834067588,28.658042772866576,36.2967154069193,1.1476908387708438,5.331515890481525,14.329021386433288,7.919929426659483,0.8246753246753248,86.22698226695321,0.9155844155844156,119.20153175801035,22
正常销售,辣椒类,星期加月份对数回归,0.302704906214915,0.28775409618054154,0.28588934942110933,0.10848313577032939,0.02312868225873717,26.28620215877473,31.041064827315225,1.0702023056661722,4.98136099545194,13.143101079387366,6.690318626127447,0.8116883116883119,73.8096942173418,0.8831168831168832,97.22498273218963,22
正常销售,辣椒类,星期加月份及趋势对数回归,0.27177885479925423,0.27339058581542414,0.20820629454650252,0.16436795833058365,0.03504336646198956,23.60065454195627,26.87115126209432,0.9889863714444398,4.334280595319203,11.800327270978135,10.066507593956054,0.7467532467532468,73.49704350352017,0.8051948051948052,96.51371908389942,22
正常销售,食用菌,同星期最近4次均值,0.27813934551760056,0.26540180542712144,0.24130388755775628,0.1250722108416141,0.026665484947612072,16.45681153201228,20.304552025621376,0.691274821427352,3.6374026542059754,8.22840576600614,6.382047537303252,0.9350649350649352,79.84140513511478,0.948051948051948,107.09977194644165,22
正常销售,食用菌,同星期最近8次中位数,0.2642250221580905,0.26847697172880597,0.2301832085560897,0.14843276345428985,0.03164597149909747,15.633535714285715,18.823142972171272,0.6536246507166676,3.1841016095084367,7.816767857142858,8.204658591759598,0.9350649350649352,97.8001871831238,0.961038961038961,132.73520868727817,22
正常销售,食用菌,近7日均值,0.39283476923733956,0.4038575520804129,0.34493310617130346,0.16171085788643638,0.03447687074386855,23.24305375972541,28.337933588189276,0.9697147406608543,3.9988766028711464,11.621526879862705,7.473825966469934,0.8506493506493507,92.33095927954993,0.922077922077922,125.40993667115657,22
正常销售,食用菌,近14日均值,0.39283476923733956,0.4038575520804129,0.34493310617130357,0.1617108578864363,0.034476870743868536,23.24305375972541,28.337933588189276,0.9697147406608543,3.998876602871147,11.621526879862705,7.473825966469934,0.8506493506493507,92.3309592795499,0.922077922077922,125.40993667115654,22
正常销售,食用菌,星期加月份对数回归,0.4266866222445049,0.47626275561064657,0.32259426298592975,0.4031460923878366,0.08595103569305187,25.24598349234409,29.46799317076378,1.0430687077489553,6.001679595222475,12.622991746172046,5.780031326018411,0.6428571428571429,56.67340200537553,0.8051948051948052,77.70848522554091,22
正常销售,食用菌,星期加月份及趋势对数回归,0.4008786284737724,0.4034394931442123,0.3364673325467167,0.2312248179877168,0.04929729683417686,23.718988853329904,27.734074057287042,0.9837380250651431,4.695901520364699,11.859494426664952,7.19045209127813,0.6298701298701299,44.3255711484757,0.7792207792207791,60.15583844452623,22
全量净需求,花叶类,同星期最近4次均值,0.20285793564078694,0.19306009054655587,0.18907702942050622,0.07624346247456563,0.016255160817009496,35.78910854919871,42.96706809898072,0.8119844341816969,8.764815554089479,17.894554274599354,10.659325494363529,0.9090909090909091,160.57333028264628,0.9545454545454546,209.63741786209167,22
全量净需求,花叶类,同星期最近8次中位数,0.19496284271863182,0.18776149790518437,0.17601912942263495,0.07769666396691634,0.016564984416187707,34.39622077922078,40.43945259602025,0.7797983351152449,8.603947638258205,17.19811038961039,9.621168539682953,0.9285714285714287,166.4415792492575,0.9740259740259741,217.88252275368023,22
全量净需求,花叶类,近7日均值,0.256378982667841,0.26442085489158906,0.22942115158032364,0.1839777732248902,0.039224193045056636,45.23153216288393,53.998079140975555,1.0369034797878973,9.158670707351954,22.615766081441965,13.863589059769623,0.9155844155844156,181.71614015605698,0.9350649350649349,236.1242822107026,22
全量净需求,花叶类,近14日均值,0.256378982667841,0.26442085489158906,0.22942115158032364,0.1839777732248901,0.03922419304505661,45.231532162883916,53.998079140975555,1.036903479787897,9.158670707351954,22.615766081441958,13.863589059769621,0.9155844155844156,181.71614015605698,0.9350649350649349,236.1242822107026,22
全量净需求,花叶类,星期加月份对数回归,0.26143101492369764,0.27693578943887975,0.20344332962964537,0.27737050840041994,0.05913559108688939,46.122834394801906,53.87053602625494,1.0810839586259096,10.699403710129694,23.061417197400953,12.679834714798506,0.7922077922077921,147.1460016758222,0.8831168831168832,197.87706590851022,22
全量净需求,花叶类,星期加月份及趋势对数回归,0.24567418159859042,0.23012056248579757,0.18628622617539176,0.13618541986109386,0.02903482907157479,43.342943056153615,50.242433252480694,1.0093934554211552,9.186096904717177,21.671471528076808,15.147892615699194,0.7662337662337663,128.22702479068215,0.8636363636363636,172.9668826666586,22
全量净需求,花菜类,同星期最近4次均值,0.30243393572921673,0.29192669423612605,0.27812541846746186,0.07562712193081865,0.016123756571563633,9.311021796155044,11.29094843153998,0.5600564888483377,1.8948135213630222,4.655510898077522,2.865775304005289,0.8571428571428572,34.60582808585829,0.9155844155844156,47.227539388977156,22
全量净需求,花菜类,同星期最近8次中位数,0.30897230063663306,0.31411496403811207,0.3038870774172112,0.10170375084085728,0.02168331253532329,9.51231818181818,11.452782542307302,0.5711218745009492,1.7604640729349896,4.75615909090909,3.391144872075689,0.8896103896103896,39.95396206405585,0.9350649350649352,54.48730473753503,22
全量净需求,花菜类,近7日均值,0.413738008218144,0.47395903139267753,0.4191350425789636,0.26111765079224547,0.05567047020200086,12.737735939349346,14.306445489690203,0.775671529965831,1.7866752958959873,6.368867969674673,4.034514675242506,0.8766233766233769,53.19972203779794,0.9610389610389611,69.45783965815077,22
全量净需求,花菜类,近14日均值,0.4137380082181441,0.4739590313926776,0.41913504257896383,0.2611176507922455,0.055670470202000874,12.737735939349346,14.306445489690207,0.7756715299658311,1.7866752958959873,6.368867969674673,4.034514675242506,0.8766233766233769,53.19972203779794,0.9610389610389611,69.45783965815077,22
全量净需求,花菜类,星期加月份对数回归,0.4324706492390707,0.48326041361148314,0.3862529926706546,0.3297862430484259,0.07031066326214985,13.314457028617456,15.003818546529802,0.8073041492260835,1.7730852865248075,6.657228514308728,4.120919507431125,0.8441558441558444,48.59479838441714,0.9220779220779222,65.48175358332117,22
全量净需求,花菜类,星期加月份及趋势对数回归,0.38969117159372074,0.3867924400220939,0.34946132717271017,0.1747826674266244,0.03726378990190074,11.997406917082962,13.70790017293437,0.72565193021882,1.7939525548242743,5.998703458541481,4.069615610108238,0.7727272727272727,34.993513409370784,0.8636363636363638,48.620571938839404,22
全量净需求,水生根茎类,同星期最近4次均值,0.3734213754961125,0.33177046530844967,0.3419801620325806,0.13259026654955555,0.028268339810146575,10.297506647706825,12.302757446483104,0.6718312971597821,2.215988918087538,5.148753323853413,3.8983749502574385,0.9025974025974026,41.007282973914286,0.9220779220779222,52.36168578556757,22
全量净需求,水生根茎类,同星期最近8次中位数,0.39786305666490845,0.41659468915266945,0.398629407154873,0.15963479929150584,0.03403425356423314,10.97151298701299,13.217567222141657,0.70238913943037,2.1585373570580764,5.485756493506495,4.298916964165887,0.9220779220779222,51.516339460619044,0.948051948051948,66.32194277500889,22
全量净需求,水生根茎类,近7日均值,0.6732358637518329,0.8064720570967665,0.6810241258051157,0.4015635685966949,0.08561364048713066,18.565222125403793,20.47019718806156,1.1647467062368653,2.088328342805142,9.282611062701896,6.308273918641871,0.8441558441558442,63.541686253835834,0.9285714285714287,83.9405452530529,22
全量净需求,水生根茎类,近14日均值,0.6732358637518329,0.8064720570967665,0.6810241258051155,0.4015635685966948,0.08561364048713063,18.565222125403793,20.47019718806156,1.1647467062368653,2.088328342805142,9.282611062701896,6.30827391864187,0.8441558441558442,63.541686253835834,0.9285714285714287,83.94054525305289,22
全量净需求,水生根茎类,星期加月份对数回归,0.42188010034092827,0.4011033641942033,0.34570040446588934,0.27632171759464086,0.058911988135790114,11.633809478700174,13.9199536175663,0.7433128351845538,2.239813971455016,5.816904739350087,3.653364578310189,0.7727272727272727,31.956030186752535,0.8571428571428572,46.44955745404893,22
全量净需求,水生根茎类,星期加月份及趋势对数回归,0.522435126869528,0.4839055489913223,0.32637289250291635,0.5748594087628074,0.12256043775199321,14.406725337528322,16.474399207530283,0.9144876194499209,3.095274664142315,7.203362668764161,4.281066651163484,0.7467532467532468,41.707437850690184,0.8506493506493507,56.13318077036761,22
全量净需求,茄类,同星期最近4次均值,0.3110069704799731,0.31201923666672005,0.3086913473469563,0.10950317597814539,0.02389555203609149,6.838886719522531,8.218064452591088,0.8529670818168266,1.4569994883340502,3.4194433597612655,1.6482732560656268,0.8775510204081634,25.974130782899834,0.9523809523809523,34.509102815206425,21
全量净需求,茄类,同星期最近8次中位数,0.29368907436453856,0.2942718969283956,0.2862851337622756,0.11295823420605454,0.02464950755322833,6.458074901796589,7.8191194174424155,0.8054418720415746,1.413794168515947,3.2290374508982946,1.6908972418727866,0.8979591836734694,27.577974293762168,0.9659863945578231,36.47932526509445,21
全量净需求,茄类,近7日均值,0.35872217760346686,0.3892889632166071,0.33926802695406394,0.24185899633405308,0.052777959914611684,7.888120104267973,9.816593182647336,0.9857906480589798,1.4916330923505128,3.9440600521339864,2.1472965653718847,0.8435374149659867,29.487312911470298,0.9523809523809523,40.98904435522681,21
全量净需求,茄类,近14日均值,0.35872217760346686,0.38928896321660716,0.33926802695406416,0.24185899633405308,0.052777959914611684,7.888120104267974,9.816593182647336,0.9857906480589798,1.4916330923505128,3.944060052133987,2.1472965653718847,0.8435374149659867,29.487312911470305,0.9523809523809523,40.98904435522681,21
全量净需求,茄类,星期加月份对数回归,0.3313601950624277,0.37593620540164113,0.2869837854335779,0.2644861251759864,0.05771560423259635,7.286443882249761,8.305918782206852,0.907944659741173,1.2488827433214122,3.6432219411248803,2.2033796103136796,0.7687074829931975,27.634427023661974,0.8979591836734694,37.70897299562554,21
全量净需求,茄类,星期加月份及趋势对数回归,0.3064193149532658,0.30425601068708735,0.2567026644781897,0.12641776513209466,0.027586617995474898,6.73800648392227,8.129162612132776,0.8411876857538354,1.2172579717070175,3.369003241961135,2.0105570912433426,0.7346938775510204,17.18804686641393,0.8435374149659864,24.43446911331267,21
全量净需求,辣椒类,同星期最近4次均值,0.23365278288272218,0.2307510219575219,0.21758174048004003,0.09946142971335277,0.021205248064640008,22.267369654345977,26.26745609196877,0.9080683740325287,5.031741888086126,11.133684827172988,7.691686597592107,0.8766233766233765,107.0998039709983,0.9415584415584416,141.90245100280598,22
全量净需求,辣椒类,同星期最近8次中位数,0.22428136356051503,0.23702908684608995,0.23470472224276262,0.10357711984966883,0.02208271615000031,21.37426298701299,25.175012134823945,0.8733989382272377,4.3574651340439905,10.687131493506495,10.579755818691316,0.8636363636363636,131.0061930661304,0.9350649350649352,176.82139735972447,22
全量净需求,辣椒类,近7日均值,0.35003931515162956,0.32267442332354257,0.28599107721554073,0.11949892498309216,0.025477256410120597,33.359135413969064,40.71132217063871,1.322003163936104,5.997233192768781,16.679567706984532,8.084506013049719,0.8116883116883117,93.85249523872007,0.9090909090909091,127.09113011460741,22
全量净需求,辣椒类,近14日均值,0.3500393151516296,0.3226744233235426,0.2859910772155406,0.1194989249830921,0.025477256410120587,33.35913541396908,40.71132217063872,1.3220031639361045,5.99723319276878,16.67956770698454,8.084506013049717,0.8116883116883117,93.85249523872007,0.9090909090909091,127.09113011460741,22
