损耗情景,损耗倍数,品类,七天预计毛利,采用损耗率
0.8倍附件四损耗率,0.8,花叶类,1339.8827775525656,0.10264000000000001
0.8倍附件四损耗率,0.8,花菜类,166.94880124022336,0.12408
0.8倍附件四损耗率,0.8,水生根茎类,403.4967094604749,0.10920000000000002
0.8倍附件四损耗率,0.8,茄类,261.13793198613445,0.05344
0.8倍附件四损耗率,0.8,辣椒类,826.1945239043679,0.07392
0.8倍附件四损耗率,0.8,食用菌,395.77382351096514,0.0756
1.0倍附件四损耗率,1.0,花叶类,1238.9942697560025,0.1283
1.0倍附件四损耗率,1.0,花菜类,144.70888718464107,0.1551
1.0倍附件四损耗率,1.0,水生根茎类,356.1331964238999,0.1365
1.0倍附件四损耗率,1.0,茄类,251.2610931305245,0.0668
1.0倍附件四损耗率,1.0,辣椒类,785.2897776410185,0.0924
1.0倍附件四损耗率,1.0,食用菌,374.2326134335907,0.09449999999999999
1.2倍附件四损耗率,1.2,花叶类,1133.1583190070205,0.15395999999999999
1.2倍附件四损耗率,1.2,花菜类,121.85292418685412,0.18611999999999998
1.2倍附件四损耗率,1.2,水生根茎类,307.85479647356317,0.1638
1.2倍附件四损耗率,1.2,茄类,241.23035736345963,0.08016
1.2倍附件四损耗率,1.2,辣椒类,743.4031298810856,0.11087999999999999
1.2倍附件四损耗率,1.2,食用菌,351.9116424177076,0.11339999999999997
