分类,选择模型,参考日平均售价,参考日销量,售价效应,销量增加1千克对应的局部价格变化,稳健p值,校正后q值,计算说明,解释边界
花叶类,线性模型,5.725391646897101,170.7395870967742,-22.015377193610973,-0.045422796584662084,2.386848045897655e-10,5.728435310154372e-10,线性需求关系：局部价格变化=1/售价系数,需求模型的局部反推，不是成本加成定价结论
花菜类,线性模型,9.573044525407452,36.52021237303786,-3.5126953143224044,-0.28468167902939767,8.227022881358352e-20,9.872427457630024e-19,线性需求关系：局部价格变化=1/售价系数,需求模型的局部反推，不是成本加成定价结论
水生根茎类,线性模型,9.870321886261946,34.062583410138245,-1.2224924266371588,-0.8180009775200059,0.09219475677207545,0.11735652769090418,线性需求关系：局部价格变化=1/售价系数,需求模型的局部反推，不是成本加成定价结论
茄类,对数模型,8.878791096378016,20.802006666666667,-0.40295482810509353,-1.0592348055818357,0.014769207248277532,0.0221538108724163,对数需求关系：在平均点处局部价格变化=平均价格/(价格弹性×平均销量),需求模型的局部反推，不是成本加成定价结论
辣椒类,对数模型,8.826796811616003,79.38874193548388,-0.6346499616294873,-0.17519025773581287,1.7735619056116698e-14,7.094247622446679e-14,对数需求关系：在平均点处局部价格变化=平均价格/(价格弹性×平均销量),需求模型的局部反推，不是成本加成定价结论
食用菌,线性模型,8.581306546056476,64.31529493087558,-1.4185132258116928,-0.7049634658342971,0.09779710640908683,0.11735652769090418,线性需求关系：局部价格变化=1/售价系数,需求模型的局部反推，不是成本加成定价结论
