分类,选择模型,样本数,杜宾沃森统计量,残差一阶相关,七阶滞后检验p值,十四阶滞后检验p值,异方差检验p值,正态性检验p值,残差偏度,残差峰度,残差时间秩相关,最大内部学生化残差,诊断提示
花叶类,线性模型,1085,1.1446146664718244,0.42747503794524455,2.863887790623891e-163,1.84232029158232e-186,0.004463445701755064,0.0,4.197458215382535,51.95245278574078,-0.22726145936510925,14.549165974536535,残差存在短期自相关；残差方差可能不恒定；残差仍有时间趋势
花菜类,线性模型,1083,0.8075169319988555,0.5960625057342563,1.4316076979801065e-201,2.4968507931196804e-244,3.847300698050987e-09,0.0,1.374087558039669,9.971961701523261,-0.059557636938164744,7.034985256271527,残差存在短期自相关；残差方差可能不恒定
水生根茎类,线性模型,1085,0.8843651424128098,0.5577504967604907,9.763802393015537e-208,3.4077476679555836e-239,0.025585410523748086,0.0,3.4921345669703117,28.12483590050458,0.21738793075992474,10.34570655064708,售价效应未通过稳健显著性检验；残差存在短期自相关；残差方差可能不恒定；残差仍有时间趋势
茄类,对数模型,1050,1.0158889830531714,0.491971870597945,5.3330349674512e-239,6.338933542930259e-305,0.0009904975112472252,0.0,-1.0493418638482561,10.144472999395813,-0.36995894392129675,7.520773913826361,残差存在短期自相关；残差方差可能不恒定；残差仍有时间趋势
辣椒类,对数模型,1085,0.6310137005869993,0.684181323784564,0.0,0.0,1.0756905639279728e-06,7.503339880628428e-186,0.24977892014325376,7.3137303588858025,0.0823018776563507,6.065937746039452,残差存在短期自相关；残差方差可能不恒定
食用菌,线性模型,1085,0.902331970986073,0.5488239035901493,4.2160271767048927e-227,1.255663546166532e-281,0.0006666066863947342,0.0,3.7104282336630785,32.30178616612621,-0.009061611506203408,10.991689346123644,售价效应未通过稳健显著性检验；残差存在短期自相关；残差方差可能不恒定
