分类,模型,变量,系数,经典标准误,经典p值,稳健标准误,稳健p值,稳健95%下限,稳健95%上限
花叶类,线性模型,截距,283.2042812794764,11.792325936561253,3.213996067912638e-102,27.43317244145674,7.042715429402126e-24,229.3751334667804,337.0334290921724
花叶类,线性模型,日平均售价,-22.015377193610973,1.618611577610869,5.7215088138769587e-39,3.442203264117917,2.386848045897655e-10,-28.76964043826358,-15.26111394895837
花叶类,线性模型,月份_02,-3.819217798072788,10.125545948388439,0.7061101929462275,26.55235346433436,0.8856561645836095,-55.92002977877813,48.28159418263256
花叶类,线性模型,月份_03,-27.769950353707273,9.874364114720317,0.0050086882950818225,24.377829168125924,0.2548974308780628,-75.6039284488058,20.064027741391257
花叶类,线性模型,月份_04,-40.1918053681144,9.851963484188413,4.8481006360016e-05,23.708008691107654,0.0903136080269085,-86.71146717178397,6.327856435555155
花叶类,线性模型,月份_05,-32.57881170272708,9.774478263520534,0.0008885250104096544,22.754147105730965,0.15250144104269436,-77.22681406264593,12.069190657191761
花叶类,线性模型,月份_06,-41.73269458184032,9.835485129411298,2.396509293948412e-05,22.86120972660387,0.06820821864497112,-86.59077434554762,3.1253851818669744
花叶类,线性模型,月份_07,20.611442355589492,10.014837029772165,0.039824116288922656,25.280153569286593,0.4150706629354657,-28.99306933961427,70.21595405079326
花叶类,线性模型,月份_08,84.73213329640605,9.969154852556649,6.34992837284094e-17,23.90599339600738,0.00041058597919756313,37.823987515265664,131.64027907754644
花叶类,线性模型,月份_09,38.99943796261218,10.35298797243075,0.0001742793913027758,25.484303709982445,0.12623132488340366,-11.00565547802956,89.0045314032539
花叶类,线性模型,月份_10,35.56744640432724,10.11442786746077,0.0004556647041547008,26.308958634183185,0.17668962945988595,-16.05577822052222,87.19067102917671
花叶类,线性模型,月份_11,-22.78656084376177,9.917648441492693,0.02177888146138225,30.517052860926807,0.45541965275988067,-82.66687373007761,37.093752042554065
花叶类,线性模型,月份_12,-32.071927012531766,10.01337001674136,0.0014007529578253398,25.850191763777303,0.21499537938899646,-82.79496301605622,18.65110899099269
花叶类,线性模型,星期_2,-7.543786585023778,7.5007684254006195,0.3147712154549534,4.805317783247081,0.11673909836270871,-16.972742051016112,1.885168880968557
花叶类,线性模型,星期_3,-3.8186840571145595,7.516750592567136,0.6115421408804571,5.100028426597566,0.45416861111374673,-13.82591835019998,6.188550235970862
花叶类,线性模型,星期_4,-7.862177143599605,7.517497674837534,0.295867243688026,5.18815682658556,0.12996542766082483,-18.042336266271313,2.317981979072104
花叶类,线性模型,星期_5,6.741473134739238,7.5301185249419795,0.37084601721834115,6.254504959902825,0.28134062375240854,-5.531065621043522,19.014011890522
花叶类,线性模型,星期_6,65.3651185891192,7.53093070734271,1.4657244421917654e-17,6.70176887349548,1.3806581593332147e-21,52.21496222030089,78.51527495793752
花叶类,线性模型,星期_7,52.38733249071044,7.502366890911088,5.083257351135257e-12,6.0696842312630155,2.182027362283195e-17,40.47744746526213,64.29721751615875
花叶类,对数模型,截距,6.323817291384153,0.08917961649882321,0.0,0.24658004148069998,2.259384123687815e-113,5.839979939767211,6.807654643001095
花叶类,对数模型,日平均售价,-0.7950517001280198,0.04809321894967373,7.980000916806837e-55,0.12145136449219722,9.151280613460195e-11,-1.0333625796026995,-0.5567408206533401
花叶类,对数模型,月份_02,0.0052564933056189304,0.05360206197949336,0.9218990098206515,0.16518646942223292,0.9746202993329768,-0.31887105330468457,0.32938403991592247
花叶类,对数模型,月份_03,-0.14177789006559946,0.052297224585798704,0.006815801576186069,0.15460399176482406,0.3593296220868729,-0.4451405850984612,0.16158480496726232
花叶类,对数模型,月份_04,-0.1969710355012422,0.05212305898424065,0.00016620665321828373,0.1494313138620711,0.18774074976867877,-0.4901839440298651,0.09624187302738071
花叶类,对数模型,月份_05,-0.1470113022727119,0.05172331665106191,0.004564870968743046,0.14424434170163603,0.3083476004526139,-0.4300463762209471,0.1360237716755233
花叶类,对数模型,月份_06,-0.19284941906854983,0.05201402998107871,0.0002199677986275033,0.144577057348265,0.18252588764636407,-0.47653734495216393,0.09083850681506425
花叶类,对数模型,月份_07,0.20760380836169467,0.052959329815682805,9.417547542926009e-05,0.15223673686274436,0.1729528541951618,-0.09111387835846424,0.5063214950818535
花叶类,对数模型,月份_08,0.495795875885685,0.05251492363713296,2.2448389882194802e-20,0.14424141944795557,0.0006103027642777912,0.2127665359598509,0.7788252158115192
花叶类,对数模型,月份_09,0.2683969997809866,0.05442901594928801,9.476340133125702e-07,0.1512896254311342,0.07633848640999423,-0.028462272592233995,0.5652562721542072
花叶类,对数模型,月份_10,0.16830748224389286,0.05299392113395371,0.001536182956037999,0.15825128506883518,0.2877753860079298,-0.14221190204161904,0.47882686652940476
花叶类,对数模型,月份_11,-0.3993126102335879,0.05252834552382773,6.382108996755889e-14,0.17970054437032407,0.026485830700737917,-0.751919556643992,-0.04670566382318381
花叶类,对数模型,月份_12,-0.28765981304760696,0.053639085366346886,1.0041162071743207e-07,0.16526632970349375,0.08204519091289683,-0.6119440608521864,0.03662443475697247
花叶类,对数模型,星期_2,-0.03653620508849931,0.03965460025839099,0.35707040991127753,0.022855788690655236,0.11021614782494034,-0.08138364773956497,0.00831123756256636
