分类,模型,响应尺度,售价效应类型,售价效应,稳健标准误,稳健p值,稳健95%下限,稳健95%上限,经典p值,模型R²,调整R²,模型AIC,模型BIC,模型整体F检验p值,售价方差膨胀因子,样本数,验证起点,验证样本数,验证MAE,验证RMSE,验证MAPE,FDR校正后q值,售价检验结论,选择依据
花叶类,线性模型,日总销量,售价系数,-22.015377193610973,3.442203264117917,2.386848045897655e-10,-28.76964043826358,-15.26111394895837,5.7215088138769587e-39,0.35035708722447645,0.3393875070838015,12193.759718416171,12288.557088469688,5.77259322760459e-87,11.836068967529398,1085,2022-11-21,217,48.5449148847831,79.82619599498804,30.247018615732312,5.728435310154372e-10,通过5%校正阈值,后20%日期验证集原始销量RMSE优先，MAE次优先
花菜类,线性模型,日总销量,售价系数,-3.5126953143224044,0.3779946256733853,8.227022881358352e-20,-4.254394878782424,-2.7709957498623843,9.049033144460139e-40,0.3104822529247896,0.2988174790081036,9487.134086137898,9581.896400830916,1.941497165994215e-73,9.380316517950202,1083,2022-11-21,217,11.467745155869007,18.11507887087062,53.88196913443481,9.872427457630024e-19,通过5%校正阈值,后20%日期验证集原始销量RMSE优先，MAE次优先
水生根茎类,线性模型,日总销量,售价系数,-1.2224924266371588,0.7253217716525292,0.09219475677207545,-2.6457129069286927,0.20072805365437496,0.0002013929229248586,0.3370066907624565,0.3258116817884642,10127.162780477996,10221.960150531513,2.1672069246490957e-82,11.84671510930398,1085,2022-11-21,217,14.735178636018428,27.357757108049142,62.26381936662013,0.11735652769090418,未通过5%校正阈值,后20%日期验证集原始销量RMSE优先，MAE次优先
茄类,对数模型,对数销量,售价弹性,-0.40295482810509353,0.16500334691621385,0.014769207248277532,-0.7267355470463007,-0.07917410916388634,8.65027277580531e-08,0.4165140135825105,0.4063270613463177,1604.1236369346254,1698.2980003545053,3.0039749000477065e-107,12.762488719361588,1050,2022-11-27,210,7.642003484980222,10.324669408868912,72.68293244100371,0.0221538108724163,通过5%校正阈值,后20%日期验证集原始销量RMSE优先，MAE次优先
辣椒类,对数模型,对数销量,售价弹性,-0.6346499616294873,0.0816290078035786,1.7735619056116698e-14,-0.7948217367400592,-0.4744781865189154,9.60005871528e-66,0.4263660627141628,0.4166799361933887,1125.5653094174177,1220.3626794709344,4.3343573792304e-115,10.191503536583332,1085,2022-11-21,217,34.279891977663944,58.790459256829614,37.27520144932146,7.094247622446679e-14,通过5%校正阈值,后20%日期验证集原始销量RMSE优先，MAE次优先
食用菌,线性模型,日总销量,售价系数,-1.4185132258116928,0.8560306810245938,0.09779710640908683,-3.0982096648367667,0.2611832132133811,0.014316357419090405,0.30847486820344094,0.2967980836140056,11097.768299805773,11192.56566985929,6.076467676801587e-73,9.10340287187697,1085,2022-11-21,217,31.781931851177163,51.20371898680218,58.40093541138715,0.11735652769090418,未通过5%校正阈值,后20%日期验证集原始销量RMSE优先，MAE次优先
