品类,正常销售价格弹性,稳健概率值,负向回测折数,回测折数,价格关系可靠,处理
花叶类,-0.7950517001280202,3.992997396084302e-11,8,8,是,正常销售IQR内局部利润优化
花菜类,-1.0673360170463346,1.1280075762679338e-19,8,8,是,正常销售IQR内局部利润优化
水生根茎类,-0.6155981729215607,0.0020839912621471515,8,8,是,正常销售IQR内局部利润优化
茄类,-0.1686553058648785,0.27556952208634855,8,8,否,正常销售历史中位加成
辣椒类,-0.6346499616294883,4.3714481893033396e-15,8,8,是,正常销售IQR内局部利润优化
食用菌,-0.16834598851778015,0.2172269320832555,3,8,否,正常销售历史中位加成
